model,horizon_days,configuration_id,is_final_reference,MAE,RMSE,MASE,retrospective_recall5_tau16
HGBR,1,LONG,False,1.6214560032497305,2.0476488620567173,1.298969238638648,0.1081081081081081
HGBR,1,REFERENCE,True,1.6649183823708138,2.085947581050557,1.3317023508603134,0.1621621621621621
HGBR,1,SHORT,False,1.669819159153406,2.0941284577678414,1.3351250275648412,0.1756756756756756
HGBR,3,LONG,False,1.82191884851947,2.2925688225721346,1.4589661743034714,0.1408450704225352
HGBR,3,REFERENCE,True,1.7636402456336688,2.2566577133859607,1.4107243360420458,0.1549295774647887
HGBR,3,SHORT,False,1.8281471567054293,2.3109516632485403,1.4628019384753836,0.0704225352112676
HGBR,5,LONG,True,1.8071915275699928,2.2886599937085035,1.444501348910103,0.1408450704225352
HGBR,5,REFERENCE,False,1.7913994552038746,2.272744136718168,1.4321737864672668,0.1690140845070422
HGBR,5,SHORT,False,1.8025005960084928,2.275299213076228,1.4417992673018485,0.1408450704225352
Ridge,1,LONG,False,1.564929289475375,1.970759831714916,1.2542231815257197,0.1621621621621621
Ridge,1,REFERENCE,True,1.5586750869880055,1.958181559908713,1.248899881704779,0.1621621621621621
Ridge,1,SHORT,False,1.5618458624267584,1.9604883944744027,1.2514072933360003,0.1756756756756756
Ridge,3,LONG,False,1.7807144705682827,2.243878524810832,1.4309937435018585,0.1690140845070422
Ridge,3,REFERENCE,True,1.7975041211450118,2.2548612622155044,1.4452793653103089,0.1830985915492957
Ridge,3,SHORT,False,1.7924219765092506,2.2401170418893663,1.4408157688358407,0.1690140845070422
Ridge,5,LONG,False,1.761889558201028,2.2405413006966315,1.4088183479998744,0.1408450704225352
Ridge,5,REFERENCE,True,1.773188441884341,2.26179876104714,1.4184002030396226,0.1830985915492957
Ridge,5,SHORT,False,1.7624831585948044,2.246713718330601,1.409214366327258,0.1690140845070422
