policy_type,model,threshold_mg_L,nominal_budget_fraction,recall,precision,realized_alarm_fraction,eligible_dates,outer_fold_or_pooled
past_only_sequential_threshold_simulation,HGBR,15,0.1,0.2222222222222222,0.3611111111111111,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,HGBR,16,0.05,0.1940298507462686,0.2708333333333333,0.0730593607305936,657,pooled
past_only_sequential_threshold_simulation,HGBR,16,0.1,0.2388059701492537,0.2222222222222222,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,HGBR,17,0.05,0.1923076923076923,0.1041666666666666,0.0730593607305936,657,pooled
past_only_sequential_threshold_simulation,HGBR,17,0.1,0.2307692307692307,0.0833333333333333,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,Persistence,15,0.05,0.1196581196581196,0.2592592592592592,0.0821917808219178,657,pooled
past_only_sequential_threshold_simulation,Persistence,15,0.1,0.2564102564102564,0.2941176470588235,0.1552511415525114,657,pooled
past_only_sequential_threshold_simulation,Persistence,16,0.05,0.1343283582089552,0.1666666666666666,0.0821917808219178,657,pooled
past_only_sequential_threshold_simulation,Persistence,16,0.1,0.3283582089552239,0.2156862745098039,0.1552511415525114,657,pooled
past_only_sequential_threshold_simulation,Persistence,17,0.05,0.1153846153846153,0.0555555555555555,0.0821917808219178,657,pooled
past_only_sequential_threshold_simulation,Persistence,17,0.1,0.3461538461538461,0.088235294117647,0.1552511415525114,657,pooled
past_only_sequential_threshold_simulation,Ridge,15,0.05,0.2136752136752136,0.3472222222222222,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,Ridge,15,0.1,0.2905982905982906,0.3119266055045872,0.1659056316590563,657,pooled
past_only_sequential_threshold_simulation,Ridge,16,0.05,0.2835820895522388,0.2638888888888889,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,Ridge,16,0.1,0.3283582089552239,0.2018348623853211,0.1659056316590563,657,pooled
past_only_sequential_threshold_simulation,Ridge,17,0.05,0.2307692307692307,0.0833333333333333,0.1095890410958904,657,pooled
past_only_sequential_threshold_simulation,Ridge,17,0.1,0.3461538461538461,0.0825688073394495,0.1659056316590563,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,15,0.05,0.1965811965811965,0.365079365079365,0.0958904109589041,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,15,0.1,0.2649572649572649,0.348314606741573,0.1354642313546423,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,16,0.05,0.2835820895522388,0.3275862068965517,0.0882800608828006,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,16,0.1,0.373134328358209,0.2659574468085106,0.1430745814307458,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,17,0.05,0.3076923076923077,0.1311475409836065,0.0928462709284627,657,pooled
past_only_sequential_threshold_simulation,fixed rank ensemble,17,0.1,0.3461538461538461,0.0927835051546391,0.1476407914764079,657,pooled
