horizon,outer_fold,outer_train_feature_start,outer_train_feature_end,outer_test_feature_start,outer_test_feature_end,outer_test_n,outer_purge_rows
1,1,2021-01-18,2021-09-27,2021-09-29,2022-06-09,254,1
1,2,2021-01-18,2022-06-08,2022-06-10,2023-02-18,254,1
1,3,2021-01-18,2023-02-17,2023-02-19,2023-10-30,254,1
3,1,2021-02-03,2021-10-08,2021-10-12,2022-06-17,249,3
3,2,2021-02-03,2022-06-14,2022-06-18,2023-02-21,249,3
3,3,2021-02-03,2023-02-18,2023-02-22,2023-10-28,249,3
5,1,2021-02-03,2021-10-04,2021-10-10,2022-06-15,249,5
5,2,2021-02-03,2022-06-10,2022-06-16,2023-02-19,249,5
5,3,2021-02-03,2023-02-14,2023-02-20,2023-10-26,249,5
