horizon,tau,budget_r,model,folds,k_mean,tp_mean,tp_sd,precision_mean,precision_sd,recall_mean,recall_sd,precision_ci95,recall_ci95,tp_ci95
1,15,0.05,enet,3,13.0,6.666666666666667,4.932882862316247,0.5128205128205129,0.3794525278704805,0.1216203387256018,0.0599228065873714,0.4293909574569836,0.0678090390870808,5.582082446940786
1,15,0.05,persistence,3,13.0,7.666666666666667,4.041451884327381,0.5897435897435898,0.3108809141790293,0.1626604389762284,0.0141437077762479,0.3517948717948718,0.016005112044234,4.573333333333334
1,16,0.1,enet,3,26.0,8.0,7.0,0.3076923076923077,0.2692307692307692,0.2352941176470588,0.2058823529411764,0.3046632958954487,0.2329778145082842,7.921245693281666
1,16,0.1,persistence,3,26.0,9.666666666666666,7.094598884597588,0.3717948717948718,0.272869187869138,0.3758169934640523,0.0822205596431968,0.3087805541768108,0.0930413219961259,8.028294408597079
3,15,0.1,enet,3,26.0,10.0,7.54983443527075,0.3846153846153846,0.2903782475104134,0.2059282822440717,0.1004970143889952,0.3285939203592199,0.1137230774880705,8.54344192933972
3,15,0.1,hgbr,3,26.0,11.333333333333334,8.504900548115383,0.4358974358974359,0.3271115595428993,0.2280894544052438,0.1119071578416531,0.3701615760359772,0.1266348703000837,9.624200976935407
3,15,0.1,persistence,3,26.0,10.333333333333334,5.033222956847166,0.3974358974358974,0.1935854983402756,0.2334152689415847,0.0556350450307159,0.2190626135728133,0.0629569801207271,5.695627952893147
3,16,0.05,enet,3,13.0,3.333333333333333,4.041451884327381,0.2564102564102564,0.3108809141790293,0.1440879382055852,0.1043440736544784,0.3517948717948718,0.1180764348650003,4.573333333333334
3,16,0.05,hgbr,3,13.0,3.0,4.358898943540674,0.2307692307692307,0.335299918733898,0.1339869281045751,0.1210033240625726,0.3794275767469403,0.136928151371917,4.932558497710224
3,16,0.05,persistence,3,13.0,3.0,2.0,0.2307692307692307,0.1538461538461538,0.1348781937017231,0.0393202031838035,0.1740933119402564,0.044494998589809,2.263213055223333
5,15,0.1,enet,3,25.0,10.0,7.0,0.4000000000000001,0.28,0.2121590571189143,0.0841454652455629,0.3168498277312667,0.0952195577407996,7.921245693281666
5,15,0.1,hgbr,3,25.0,9.666666666666666,2.309401076758504,0.3866666666666667,0.0923760430703401,0.2516205768658935,0.1013791258485817,0.1045333333333333,0.1147212805738197,2.6133333333333337
5,15,0.1,hybrid_paper_fixed,3,25.0,9.0,5.5677643628300215,0.36,0.2227105745132009,0.1923336847511691,0.040727874886417,0.2520207398872826,0.0460879290772207,6.300518497182064
5,15,0.1,hybrid_rank_v2,3,25.0,10.666666666666666,5.131601439446884,0.4266666666666667,0.2052640575778753,0.2464249993241964,0.0375754250146182,0.2322781474391807,0.0425205962243246,5.806953685979518
5,15,0.1,persistence,3,25.0,9.0,6.082762530298219,0.36,0.2433105012119288,0.1812613197091341,0.0658251759545201,0.2753317514078849,0.0744881987913214,6.883293785197122
5,15,0.1,tcn,3,25.0,8.0,6.082762530298219,0.32,0.2433105012119288,0.1967074851999026,0.107462617309939,0.2753317514078848,0.1216053992221615,6.883293785197122
5,16,0.1,enet,3,25.0,6.0,5.5677643628300215,0.24,0.2227105745132008,0.2305311176278917,0.1153038644415905,0.2520207398872826,0.1304786056609545,6.300518497182064
5,16,0.1,hgbr,3,25.0,5.333333333333333,2.081665999466133,0.2133333333333333,0.0832666399786453,0.3018898664059954,0.1718195455465496,0.0942250733321256,0.1944321193117456,2.35562683330314
5,16,0.1,hybrid_paper_fixed,3,25.0,7.0,5.5677643628300215,0.28,0.2227105745132008,0.3069403714565005,0.1027695491540353,0.2520207398872826,0.1162946926624143,6.300518497182064
5,16,0.1,hybrid_rank_v2,3,25.0,7.333333333333333,5.507570547286102,0.2933333333333334,0.220302821891444,0.3176930596285435,0.0851506617414763,0.2492961113036284,0.0963570446571076,6.232402782590712
5,16,0.1,persistence,3,25.0,6.0,4.58257569495584,0.24,0.1833030277982336,0.2337895079830563,0.080183716904823,0.2074269027874639,0.0907364174576637,5.185672569686598
5,16,0.1,tcn,3,25.0,5.666666666666667,5.507570547286102,0.2266666666666666,0.220302821891444,0.2645812968393613,0.1461129232736357,0.2492961113036284,0.1653423377448688,6.232402782590712
