horizon,outer_fold,outer_train_n_before_purge,outer_train_n_after_purge,outer_test_n,outer_rows_purged,outer_train_feature_start,outer_train_feature_end,outer_train_target_end,outer_test_feature_start,outer_test_feature_end,inner_train_n_before_purge,inner_train_n_after_purge,inner_validation_n,inner_rows_purged,inner_train_target_end,inner_validation_feature_start,outer_boundary_pass,inner_boundary_pass
1,1,254,253,254,1,2021-01-18,2021-09-27,2021-09-28,2021-09-29,2022-06-09,215,214,38,1,2021-08-20,2021-08-21,True,True
1,2,508,507,254,1,2021-01-18,2022-06-08,2022-06-09,2022-06-10,2023-02-18,430,429,77,1,2022-03-23,2022-03-24,True,True
1,3,762,761,254,1,2021-01-18,2023-02-17,2023-02-18,2023-02-19,2023-10-30,646,645,115,1,2022-10-25,2022-10-26,True,True
3,1,251,248,249,3,2021-02-03,2021-10-08,2021-10-11,2021-10-12,2022-06-17,210,207,38,3,2021-08-31,2021-09-01,True,True
3,2,500,497,249,3,2021-02-03,2022-06-14,2022-06-17,2022-06-18,2023-02-21,422,419,75,3,2022-03-31,2022-04-01,True,True
3,3,749,746,249,3,2021-02-03,2023-02-18,2023-02-21,2023-02-22,2023-10-28,634,631,112,3,2022-10-29,2022-10-30,True,True
5,1,249,244,249,5,2021-02-03,2021-10-04,2021-10-09,2021-10-10,2022-06-15,207,202,37,5,2021-08-28,2021-08-29,True,True
5,2,498,493,249,5,2021-02-03,2022-06-10,2022-06-15,2022-06-16,2023-02-19,419,414,74,5,2022-03-28,2022-03-29,True,True
5,3,747,742,249,5,2021-02-03,2023-02-14,2023-02-19,2023-02-20,2023-10-26,630,625,112,5,2022-10-25,2022-10-26,True,True
