model,tau,budget_r,n,k,events,TP,precision,recall
tcn,15,0.19,747,142,134,42,0.29577464788732394,0.31343283582089554
tcn,15,0.2,747,150,134,43,0.2866666666666667,0.3208955223880597
tcn,16,0.01,747,8,71,6,0.75,0.08450704225352113
tcn,16,0.02,747,15,71,8,0.5333333333333333,0.11267605633802817
tcn,16,0.03,747,23,71,9,0.391304347826087,0.1267605633802817
tcn,16,0.04,747,30,71,14,0.4666666666666667,0.19718309859154928
tcn,16,0.05,747,38,71,15,0.39473684210526316,0.2112676056338028
tcn,16,0.06,747,45,71,15,0.3333333333333333,0.2112676056338028
tcn,16,0.07,747,53,71,15,0.2830188679245283,0.2112676056338028
tcn,16,0.08,747,60,71,16,0.26666666666666666,0.22535211267605634
tcn,16,0.09,747,68,71,17,0.25,0.23943661971830985
tcn,16,0.1,747,75,71,18,0.24,0.2535211267605634
tcn,16,0.11,747,83,71,20,0.24096385542168675,0.28169014084507044
tcn,16,0.12,747,90,71,20,0.2222222222222222,0.28169014084507044
tcn,16,0.13,747,98,71,20,0.20408163265306123,0.28169014084507044
tcn,16,0.14,747,105,71,20,0.19047619047619047,0.28169014084507044
tcn,16,0.15,747,113,71,21,0.18584070796460178,0.29577464788732394
tcn,16,0.16,747,120,71,22,0.18333333333333332,0.30985915492957744
tcn,16,0.17,747,127,71,22,0.1732283464566929,0.30985915492957744
tcn,16,0.18,747,135,71,23,0.17037037037037037,0.323943661971831
tcn,16,0.19,747,142,71,23,0.1619718309859155,0.323943661971831
tcn,16,0.2,747,150,71,23,0.15333333333333332,0.323943661971831
tcn,17,0.01,747,8,29,1,0.125,0.034482758620689655
tcn,17,0.02,747,15,29,2,0.13333333333333333,0.06896551724137931
tcn,17,0.03,747,23,29,2,0.08695652173913043,0.06896551724137931
tcn,17,0.04,747,30,29,2,0.06666666666666667,0.06896551724137931
tcn,17,0.05,747,38,29,3,0.07894736842105263,0.10344827586206896
tcn,17,0.06,747,45,29,3,0.06666666666666667,0.10344827586206896
tcn,17,0.07,747,53,29,3,0.05660377358490566,0.10344827586206896
tcn,17,0.08,747,60,29,3,0.05,0.10344827586206896
tcn,17,0.09,747,68,29,3,0.04411764705882353,0.10344827586206896
tcn,17,0.1,747,75,29,4,0.05333333333333334,0.13793103448275862
tcn,17,0.11,747,83,29,4,0.04819277108433735,0.13793103448275862
tcn,17,0.12,747,90,29,4,0.044444444444444446,0.13793103448275862
tcn,17,0.13,747,98,29,6,0.061224489795918366,0.20689655172413793
tcn,17,0.14,747,105,29,6,0.05714285714285714,0.20689655172413793
tcn,17,0.15,747,113,29,7,0.061946902654867256,0.2413793103448276
tcn,17,0.16,747,120,29,8,0.06666666666666667,0.27586206896551724
tcn,17,0.17,747,127,29,8,0.06299212598425197,0.27586206896551724
tcn,17,0.18,747,135,29,8,0.05925925925925926,0.27586206896551724
tcn,17,0.19,747,142,29,8,0.056338028169014086,0.27586206896551724
tcn,17,0.2,747,150,29,8,0.05333333333333334,0.27586206896551724
persistence,15,0.01,747,8,134,6,0.75,0.04477611940298507
persistence,15,0.02,747,15,134,9,0.6,0.06716417910447761
persistence,15,0.03,747,23,134,12,0.5217391304347826,0.08955223880597014
persistence,15,0.04,747,30,134,15,0.5,0.11194029850746269
