fold,phase,start_date,end_date,n_samples
1,subtrain,2021-02-03,2021-09-03,213
1,validation,2021-09-04,2021-10-11,38
1,test,2021-10-12,2022-06-17,249
2,subtrain,2021-02-03,2022-04-03,425
2,validation,2022-04-04,2022-06-17,75
2,test,2022-06-18,2023-02-21,249
3,subtrain,2021-02-03,2022-10-31,636
3,validation,2022-11-01,2023-02-21,113
3,test,2023-02-22,2023-10-28,249
