fold,phase,start_date,end_date,n_samples
1,subtrain,2021-01-18,2021-08-20,215
1,validation,2021-08-21,2021-09-28,39
1,test,2021-09-29,2022-06-09,254
2,subtrain,2021-01-18,2022-03-24,431
2,validation,2022-03-25,2022-06-09,77
2,test,2022-06-10,2023-02-18,254
3,subtrain,2021-01-18,2022-10-26,647
3,validation,2022-10-27,2023-02-18,115
3,test,2023-02-19,2023-10-30,254
