fold,phase,start_date,end_date,n_samples
1,subtrain,2021-02-03,2021-09-01,211
1,validation,2021-09-02,2021-10-09,38
1,test,2021-10-10,2022-06-15,249
2,subtrain,2021-02-03,2022-04-01,423
2,validation,2022-04-02,2022-06-15,75
2,test,2022-06-16,2023-02-19,249
3,subtrain,2021-02-03,2022-10-29,634
3,validation,2022-10-30,2023-02-19,113
3,test,2023-02-20,2023-10-26,249
