horizon,canonical_N,number_of_outer_folds,fold_1_N,fold_2_N,fold_3_N,feature_date_start,feature_date_end,target_date_start,target_date_end,events_tau15,prevalence_tau15,events_tau16,prevalence_tau16,events_tau17,prevalence_tau17,target_date_embargo_days,total_outer_rows_purged,total_inner_rows_purged,inner_purge_applied,outer_purge_applied,all_outer_boundaries_pass,all_inner_boundaries_pass,dataset_sha256,split_sha256,protocol_tag,assembly_id
1,762,3,254,254,254,2021-09-29,2023-10-30,2021-09-30,2023-10-31,141,0.18503937007874016,74,0.09711286089238845,30,0.03937007874015748,1,3,3,True,True,True,True,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,corrected-protocol-v1,canonical_h1_h3_reconciliation_9f680046d8619817
3,747,3,249,249,249,2021-10-12,2023-10-28,2021-10-15,2023-10-31,134,0.17938420348058903,71,0.09504685408299866,29,0.038821954484605084,3,9,9,True,True,True,True,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,corrected-protocol-v1,canonical_h1_h3_reconciliation_9f680046d8619817
