fold,tau,objective_mean_recall,objective_mean_precision,w_tcn,w_y_pred_enet,w_y_pred_persist,w_y_pred_hgbr
1,15,0.2733333333333333,0.6,0.0,0.4375,0.12500000000000003,0.4375
1,16,0.4,0.46,0.4999999999999999,0.0,0.16666666666666666,0.3333333333333333
1,17,0.6153846153846154,0.23,0.0,0.2,0.2,0.6
2,15,0.2412280701754386,0.75,0.125,0.0625,0.25,0.5625
2,16,0.328125,0.5800000000000001,0.15789473684210525,0.052631578947368425,0.4736842105263158,0.3157894736842105
2,17,0.375,0.3,0.052631578947368425,0.15789473684210525,0.2631578947368421,0.5263157894736842
3,15,0.23417721518987342,0.52,0.8181818181818181,0.0,0.18181818181818182,0.0
3,16,0.34210526315789475,0.35,0.0,0.0,0.6,0.4
3,17,0.3235294117647059,0.16,0.0,0.0,0.25,0.7499999999999999
