horizon,submitted_variant,submitted_N,corrected_N,submitted_MAE,corrected_MAE,submitted_RMSE,corrected_RMSE,aggregation_effect,date_set_effect,purge_effect,nested_selection_effect,lineage_effect,unresolved_effect,recommended_revision_value
H1,H1_missing_submitted_prediction_artifact,NA,762,NA,1.6649183736062991,NA,2.08594756351744,"{""MAE"": null, ""RMSE"": null, ""note"": ""not_computable_without_submitted_predictions""}","{""MAE"": null, ""RMSE"": null, ""note"": ""not_computable_without_submitted_predictions""}","{""MAE"": null, ""RMSE"": null, ""note"": ""not_computable_without_submitted_predictions""}","{""MAE"": null, ""RMSE"": null, ""note"": ""not_computable_without_submitted_predictions""}","{""MAE"": null, ""RMSE"": null, ""note"": ""not_computable_without_submitted_predictions""}","{""MAE"": null, ""RMSE"": null, ""note"": ""legacy_H1_artifact_missing_reporting_limitation_only""}","{""MAE"": 1.6649183736062991, ""MASE"": 1.331702333745425, ""MSE"": 4.351177237744344, ""N"": 762, ""RMSE"": 2.08594756351744}"
H3,H3_ordinary_optuna_prediction,759,747,1.7767021126165674,1.763640238285536,2.254932564350989,2.256657700039158,"{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""submitted comparison uses pooled metrics from prediction file rows""}","{""MAE"": 0.0019874660515548648, ""RMSE"": 0.004258752717722025, ""note"": ""effect of restricting submitted ordinary prediction rows from 759 to corrected canonical 747""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""outer-purge impact is operationalized through canonical-date row removals in this decomposition""}","{""MAE"": -0.015049340382586207, ""RMSE"": -0.0025336170295533478, ""note"": ""difference between corrected nested rerun and submitted ordinary predictions on same canonical dates""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""no lineage switch for H3; both compared on ordinary lineage""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""residual numeric remainder from floating precision""}","{""MAE"": 1.763640238285536, ""MASE"": 1.410724330361394, ""MSE"": 5.0925039751460215, ""N"": 747, ""RMSE"": 2.256657700039158}"
H5,H5_ordinary_optuna_prediction,759,747,1.754919394394562,1.8071915266682184,2.2888387104134282,2.288659983853924,"{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""submitted comparison uses pooled metrics from prediction file rows""}","{""MAE"": 0.0061666419432258035, ""RMSE"": 0.008332347705226173, ""note"": ""effect of restricting submitted ordinary prediction rows from 759 to corrected canonical 747""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""outer-purge impact is operationalized through canonical-date row removals in this decomposition""}","{""MAE"": 0.01174383151411873, ""RMSE"": -0.001841079892318298, ""note"": ""difference between corrected nested rerun and submitted H5_v2 predictions on canonical 747 dates""}","{""MAE"": 0.03436165881631181, ""RMSE"": -0.0066699943724120025, ""note"": ""difference between submitted H5 ordinary and submitted H5_v2 on the same canonical 747 dates""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""residual numeric remainder from floating precision""}","{""MAE"": 1.8071915266682184, ""MASE"": 1.444501350881476, ""MSE"": 5.237964521694242, ""N"": 747, ""RMSE"": 2.288659983853924}"
H5,H5_v2_optuna_prediction,747,747,1.7954476951540996,1.8071915266682184,2.2905010637462424,2.288659983853924,"{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""submitted comparison uses pooled metrics from prediction file rows""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""submitted H5_v2 already matches canonical 747 row set""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""already reflected in canonical row set""}","{""MAE"": 0.01174383151411873, ""RMSE"": -0.001841079892318298, ""note"": ""difference between corrected nested rerun and submitted H5_v2 predictions""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""same lineage for submitted H5_v2 and corrected H5 comparison""}","{""MAE"": 0.0, ""RMSE"": 0.0, ""note"": ""residual numeric remainder from floating precision""}","{""MAE"": 1.8071915266682184, ""MASE"": 1.444501350881476, ""MSE"": 5.237964521694242, ""N"": 747, ""RMSE"": 2.288659983853924}"
