fold,tau,budget_r,rank_objective,objective_1,objective_2,objective_3,baseline_prec_floor,w_tcn,w_y_pred_enet,w_y_pred_persist,w_y_pred_hgbr,train_prec_r_target,train_rec_r_target,train_tp_r_target
1,15,0.05,policy_guarded,0.20270270270270271,0.6,15.0,0.28,0.0,0.4999999999999999,0.16666666666666666,0.3333333333333333,0.6,0.20270270270270271,15.0
1,15,0.1,policy_guarded,0.36486486486486486,0.54,27.0,0.24,0.0,0.4,0.0,0.6,0.54,0.36486486486486486,27.0
1,16,0.05,policy_guarded,0.3333333333333333,0.52,13.0,0.48,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4999999999999999,0.52,0.3333333333333333,13.0
1,16,0.1,policy_guarded,0.46153846153846156,0.36,18.0,0.3,0.0,0.4,0.0,0.6,0.36,0.46153846153846156,18.0
1,17,0.05,policy_guarded,0.5384615384615384,0.28,7.0,0.24,0.0,0.25,0.25,0.5,0.28,0.5384615384615384,7.0
1,17,0.1,policy_guarded,0.6923076923076923,0.18,9.0,0.12,0.0,0.5,0.5,0.0,0.18,0.6923076923076923,9.0
2,15,0.05,policy_guarded,0.18421052631578946,0.84,21.0,0.64,0.09090909090909093,0.09090909090909093,0.6363636363636364,0.18181818181818185,0.84,0.18421052631578946,21.0
2,15,0.1,policy_guarded,0.2982456140350877,0.6938775510204082,34.0,0.4897959183673469,0.125,0.25,0.125,0.5,0.6938775510204082,0.2982456140350877,34.0
2,16,0.05,policy_guarded,0.25,0.64,16.0,0.52,0.14285714285714288,0.0,0.5714285714285715,0.28571428571428575,0.64,0.25,16.0
2,16,0.1,policy_guarded,0.421875,0.5510204081632653,27.0,0.3877551020408163,0.11764705882352942,0.17647058823529413,0.4117647058823529,0.29411764705882354,0.5510204081632653,0.421875,27.0
2,17,0.05,policy_guarded,0.2857142857142857,0.32,8.0,0.24,0.0,0.0,0.4,0.6,0.32,0.2857142857142857,8.0
2,17,0.1,policy_guarded,0.4642857142857143,0.2653061224489796,13.0,0.16326530612244897,0.0,0.4666666666666666,0.26666666666666666,0.26666666666666666,0.2653061224489796,0.4642857142857143,13.0
3,15,0.05,policy_guarded,0.20512820512820512,0.64,16.0,0.48,0.1,0.2,0.3,0.4,0.64,0.20512820512820512,16.0
3,15,0.1,policy_guarded,0.3076923076923077,0.4897959183673469,24.0,0.32653061224489793,0.07142857142857144,0.28571428571428575,0.35714285714285715,0.28571428571428575,0.4897959183673469,0.3076923076923077,24.0
3,16,0.05,policy_guarded,0.2972972972972973,0.44,11.0,0.24,0.06666666666666667,0.13333333333333333,0.39999999999999997,0.39999999999999997,0.44,0.2972972972972973,11.0
3,16,0.1,policy_guarded,0.4594594594594595,0.3469387755102041,17.0,0.16326530612244897,0.125,0.25,0.37499999999999994,0.25,0.3469387755102041,0.4594594594594595,17.0
3,17,0.05,policy_guarded,0.29411764705882354,0.2,5.0,0.12,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.29411764705882354,5.0
3,17,0.1,policy_guarded,0.4117647058823529,0.14285714285714285,7.0,0.08163265306122448,0.0,0.5,0.25,0.25,0.14285714285714285,0.4117647058823529,7.0
