horizon,tau,n_test,events,prevalence,random_recall_at_r005,random_recall_at_r010
1,15,762,141,0.18503937007874016,0.05,0.1
1,16,762,74,0.09711286089238845,0.05,0.1
1,17,762,30,0.03937007874015748,0.05,0.1
3,15,759,140,0.1844532279314888,0.05,0.1
3,16,759,73,0.09617918313570488,0.05,0.1
3,17,759,29,0.03820816864295125,0.05,0.1
5,15,759,140,0.1844532279314888,0.05,0.1
5,16,759,73,0.09617918313570488,0.05,0.1
5,17,759,29,0.03820816864295125,0.05,0.1
