horizon,tau,budget_r,model,folds,k_mean,tp_mean,tp_sd,precision_mean,precision_sd,recall_mean,recall_sd,precision_ci95,recall_ci95,tp_ci95
1,15,0.05,enet,3,13.0,6.666666666666667,4.932882862316247,0.5128205128205129,0.37945252787048056,0.12162033872560189,0.05992280658737142,0.42939095745698364,0.06780903908708087,5.582082446940786
1,15,0.05,persistence,3,13.0,7.666666666666667,4.041451884327381,0.5897435897435898,0.3108809141790293,0.16266043897622845,0.014143707776247913,0.3517948717948718,0.016005112044234035,4.573333333333334
1,16,0.1,enet,3,26.0,8.0,7.0,0.3076923076923077,0.2692307692307692,0.2352941176470588,0.20588235294117646,0.30466329589544877,0.23297781450828428,7.921245693281666
1,16,0.1,persistence,3,26.0,9.666666666666666,7.094598884597588,0.3717948717948718,0.272869187869138,0.3758169934640523,0.08222055964319688,0.3087805541768108,0.09304132199612594,8.028294408597079
3,15,0.1,enet,3,26.0,10.0,7.54983443527075,0.3846153846153846,0.29037824751041347,0.2059282822440717,0.10049701438899523,0.32859392035921997,0.11372307748807058,8.54344192933972
3,15,0.1,hgbr,3,26.0,11.333333333333334,8.504900548115383,0.4358974358974359,0.32711155954289933,0.22808945440524386,0.11190715784165313,0.3701615760359772,0.12663487030008377,9.624200976935409
3,15,0.1,persistence,3,26.0,10.333333333333334,5.033222956847166,0.3974358974358974,0.1935854983402756,0.2334152689415847,0.05563504503071595,0.21906261357281331,0.06295698012072719,5.695627952893147
3,16,0.05,enet,3,13.0,3.3333333333333335,4.041451884327381,0.25641025641025644,0.3108809141790293,0.14408793820558527,0.10434407365447841,0.3517948717948718,0.11807643486500032,4.573333333333334
3,16,0.05,hgbr,3,13.0,3.0,4.358898943540674,0.23076923076923075,0.335299918733898,0.13398692810457516,0.12100332406257268,0.3794275767469403,0.13692815137191708,4.932558497710224
3,16,0.05,persistence,3,13.0,3.0,2.0,0.23076923076923075,0.15384615384615385,0.13487819370172313,0.0393202031838035,0.1740933119402564,0.04449499858980908,2.263213055223333
5,15,0.1,enet,3,25.0,10.0,7.0,0.4000000000000001,0.28,0.21215905711891436,0.08414546524556295,0.3168498277312667,0.09521955774079965,7.921245693281666
5,15,0.1,hgbr,3,25.0,9.666666666666666,2.3094010767585034,0.3866666666666667,0.0923760430703401,0.2516205768658935,0.10137912584858179,0.10453333333333331,0.11472128057381979,2.6133333333333337
5,15,0.1,hybrid_paper_fixed,3,25.0,9.0,5.5677643628300215,0.36000000000000004,0.2227105745132009,0.1923336847511691,0.04072787488641702,0.2520207398872826,0.046087929077220785,6.300518497182064
5,15,0.1,hybrid_rank_v2,3,25.0,10.666666666666666,5.131601439446884,0.4266666666666667,0.20526405757787536,0.24642499932419648,0.0375754250146182,0.23227814743918074,0.04252059622432465,5.806953685979518
5,15,0.1,persistence,3,25.0,9.0,6.082762530298219,0.36000000000000004,0.2433105012119288,0.1812613197091341,0.0658251759545201,0.2753317514078849,0.07448819879132144,6.883293785197122
5,15,0.1,tcn,3,25.0,8.0,6.082762530298219,0.32,0.2433105012119288,0.19670748519990267,0.10746261730993904,0.27533175140788485,0.12160539922216151,6.883293785197122
5,16,0.1,enet,3,25.0,6.0,5.5677643628300215,0.24,0.22271057451320087,0.23053111762789177,0.1153038644415905,0.2520207398872826,0.13047860566095454,6.300518497182064
5,16,0.1,hgbr,3,25.0,5.333333333333333,2.081665999466133,0.21333333333333335,0.08326663997864532,0.30188986640599547,0.17181954554654966,0.0942250733321256,0.19443211931174562,2.35562683330314
5,16,0.1,hybrid_paper_fixed,3,25.0,7.0,5.5677643628300215,0.28,0.22271057451320087,0.3069403714565005,0.10276954915403531,0.2520207398872826,0.11629469266241439,6.300518497182064
5,16,0.1,hybrid_rank_v2,3,25.0,7.333333333333333,5.507570547286102,0.2933333333333334,0.22030282189144407,0.3176930596285435,0.08515066174147631,0.24929611130362847,0.09635704465710761,6.232402782590712
5,16,0.1,persistence,3,25.0,6.0,4.58257569495584,0.24,0.18330302779823363,0.23378950798305634,0.08018371690482307,0.20742690278746395,0.09073641745766371,5.185672569686598
5,16,0.1,tcn,3,25.0,5.666666666666667,5.507570547286102,0.22666666666666666,0.22030282189144407,0.2645812968393613,0.14611292327363576,0.24929611130362847,0.1653423377448688,6.232402782590712
