model,horizon,outer_fold,threshold,nominal_budget_r,N,events,k,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,random_expected_recall,recall_enrichment_over_random,date_start,date_end,score_context,dataset_sha256,split_sha256,alarm_run_id
BCR-TCN v1.1,5,2,17,0.1,249,1,25,0.10040160642570281,0,25,1,223,0.0,0.0,0.8991935483870968,0.10080645161290322,1.0,1.0,0.10040160642570281,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.05,249,55,13,0.05220883534136546,8,5,47,189,0.6153846153846154,0.14545454545454545,0.9742268041237113,0.02577319587628866,0.38461538461538464,0.8545454545454545,0.05220883534136546,2.786013986013986,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.1,249,55,25,0.10040160642570281,13,12,42,182,0.52,0.23636363636363636,0.9381443298969072,0.061855670103092786,0.48,0.7636363636363637,0.10040160642570281,2.354181818181818,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.05,249,33,13,0.05220883534136546,1,12,32,204,0.07692307692307693,0.030303030303030304,0.9444444444444444,0.05555555555555555,0.9230769230769231,0.9696969696969697,0.05220883534136546,0.5804195804195804,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.1,249,33,25,0.10040160642570281,4,21,29,195,0.16,0.12121212121212122,0.9027777777777778,0.09722222222222222,0.84,0.8787878787878788,0.10040160642570281,1.2072727272727273,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.05,249,12,13,0.05220883534136546,4,9,8,228,0.3076923076923077,0.3333333333333333,0.9620253164556962,0.0379746835443038,0.6923076923076923,0.6666666666666666,0.05220883534136546,6.384615384615385,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.1,249,12,25,0.10040160642570281,7,18,5,219,0.28,0.5833333333333334,0.9240506329113924,0.0759493670886076,0.72,0.4166666666666667,0.10040160642570281,5.8100000000000005,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,1,15,0.05,249,59,13,0.05220883534136546,7,6,52,184,0.5384615384615384,0.11864406779661017,0.968421052631579,0.031578947368421054,0.46153846153846156,0.8813559322033898,0.05220883534136546,2.272490221642764,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,1,15,0.1,249,59,25,0.10040160642570281,11,14,48,176,0.44,0.1864406779661017,0.9263157894736842,0.07368421052631578,0.56,0.8135593220338984,0.10040160642570281,1.856949152542373,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
ElasticNet,5,1,16,0.05,249,31,13,0.05220883534136546,3,10,28,208,0.23076923076923078,0.0967741935483871,0.9541284403669725,0.045871559633027525,0.7692307692307693,0.9032258064516129,0.05220883534136546,1.8535980148883375,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
