outer_fold_or_pooled,N,nominal_budget_r,k,realized_alarm_fraction,submitted_nominal_random_recall,corrected_exact_random_expected_recall,difference_due_to_ceiling
1,249,0.05,13,0.05220883534136546,0.05,0.05220883534136546,0.002208835341365456
2,249,0.05,13,0.05220883534136546,0.05,0.05220883534136546,0.002208835341365456
3,249,0.05,13,0.05220883534136546,0.05,0.05220883534136546,0.002208835341365456
pooled,747,0.05,39,0.05220883534136546,0.05,0.05220883534136546,0.002208835341365456
1,249,0.1,25,0.10040160642570281,0.1,0.10040160642570281,0.00040160642570280514
2,249,0.1,25,0.10040160642570281,0.1,0.10040160642570281,0.00040160642570280514
3,249,0.1,25,0.10040160642570281,0.1,0.10040160642570281,0.00040160642570280514
pooled,747,0.1,75,0.10040160642570281,0.1,0.10040160642570281,0.00040160642570280514
