model,horizon,threshold,nominal_budget_r,pooled_N,pooled_events,pooled_K,realized_pooled_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,random_expected_recall,recall_enrichment_over_random,folds,score_context,dataset_sha256,split_sha256,alarm_run_id
ElasticNet,5,17,0.1,747,29,75,0.10040160642570281,11,64,18,654,0.14666666666666667,0.3793103448275862,0.9108635097493036,0.08913649025069638,0.8533333333333334,0.6206896551724138,0.10040160642570281,3.7779310344827586,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,15,0.05,747,134,39,0.05220883534136546,18,21,116,592,0.46153846153846156,0.13432835820895522,0.965742251223491,0.03425774877650897,0.5384615384615384,0.8656716417910447,0.05220883534136546,2.5729047072330657,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,15,0.1,747,134,75,0.10040160642570281,28,47,106,566,0.37333333333333335,0.208955223880597,0.9233278955954323,0.0766721044045677,0.6266666666666667,0.7910447761194029,0.10040160642570281,2.0811940298507463,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,16,0.05,747,71,39,0.05220883534136546,10,29,61,647,0.2564102564102564,0.14084507042253522,0.9571005917159763,0.042899408284023666,0.7435897435897436,0.8591549295774648,0.05220883534136546,2.697724810400867,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,16,0.1,747,71,75,0.10040160642570281,15,60,56,616,0.2,0.2112676056338028,0.9112426035502958,0.08875739644970414,0.8,0.7887323943661971,0.10040160642570281,2.104225352112676,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,17,0.05,747,29,39,0.05220883534136546,6,33,23,685,0.15384615384615385,0.20689655172413793,0.9540389972144847,0.04596100278551532,0.8461538461538461,0.7931034482758621,0.05220883534136546,3.962864721485411,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,17,0.1,747,29,75,0.10040160642570281,7,68,22,650,0.09333333333333334,0.2413793103448276,0.9052924791086351,0.0947075208913649,0.9066666666666666,0.7586206896551724,0.10040160642570281,2.404137931034483,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,5,15,0.05,747,134,39,0.05220883534136546,21,18,113,595,0.5384615384615384,0.15671641791044777,0.9706362153344209,0.02936378466557912,0.46153846153846156,0.8432835820895522,0.05220883534136546,3.0017221584385765,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,5,15,0.1,747,134,75,0.10040160642570281,30,45,104,568,0.4,0.22388059701492538,0.9265905383360522,0.0734094616639478,0.6,0.7761194029850746,0.10040160642570281,2.229850746268657,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,5,16,0.05,747,71,39,0.05220883534136546,12,27,59,649,0.3076923076923077,0.16901408450704225,0.9600591715976331,0.03994082840236687,0.6923076923076923,0.8309859154929577,0.05220883534136546,3.2372697724810404,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,5,16,0.1,747,71,75,0.10040160642570281,21,54,50,622,0.28,0.29577464788732394,0.9201183431952663,0.07988165680473373,0.72,0.704225352112676,0.10040160642570281,2.9459154929577465,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HybridRank_fixed_documented,5,17,0.05,747,29,39,0.05220883534136546,6,33,23,685,0.15384615384615385,0.20689655172413793,0.9540389972144847,0.04596100278551532,0.8461538461538461,0.7931034482758621,0.05220883534136546,3.962864721485411,"1,2,3",retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
