model,horizon,fold,observed_N,expected_N,duplicate_key_count,missing_key_count,extra_key_count,y_true_mismatch_count,target_offset_mismatch_count,feature_date_start,feature_date_end,target_date_start,target_date_end,key_equality_pass,y_true_equality_pass,target_offset_pass
ElasticNet,1,1,254,254,0,0,0,0,0,2021-09-29,2022-06-09,2021-09-30,2022-06-10,True,True,True
ElasticNet,1,2,254,254,0,0,0,0,0,2022-06-10,2023-02-18,2022-06-11,2023-02-19,True,True,True
ElasticNet,1,3,254,254,0,0,0,0,0,2023-02-19,2023-10-30,2023-02-20,2023-10-31,True,True,True
HGBR,1,1,254,254,0,0,0,0,0,2021-09-29,2022-06-09,2021-09-30,2022-06-10,True,True,True
HGBR,1,2,254,254,0,0,0,0,0,2022-06-10,2023-02-18,2022-06-11,2023-02-19,True,True,True
HGBR,1,3,254,254,0,0,0,0,0,2023-02-19,2023-10-30,2023-02-20,2023-10-31,True,True,True
Persistence,1,1,254,254,0,0,0,0,0,2021-09-29,2022-06-09,2021-09-30,2022-06-10,True,True,True
Persistence,1,2,254,254,0,0,0,0,0,2022-06-10,2023-02-18,2022-06-11,2023-02-19,True,True,True
Persistence,1,3,254,254,0,0,0,0,0,2023-02-19,2023-10-30,2023-02-20,2023-10-31,True,True,True
Ridge,1,1,254,254,0,0,0,0,0,2021-09-29,2022-06-09,2021-09-30,2022-06-10,True,True,True
Ridge,1,2,254,254,0,0,0,0,0,2022-06-10,2023-02-18,2022-06-11,2023-02-19,True,True,True
Ridge,1,3,254,254,0,0,0,0,0,2023-02-19,2023-10-30,2023-02-20,2023-10-31,True,True,True
