horizon,outer_fold,N,events_tau15,prevalence_tau15,events_tau16,prevalence_tau16,events_tau17,prevalence_tau17
1,1,254,66,0.25984251968503935,34,0.13385826771653545,17,0.06692913385826772
1,2,254,19,0.07480314960629922,6,0.023622047244094488,1,0.003937007874015748
1,3,254,56,0.2204724409448819,34,0.13385826771653545,12,0.047244094488188976
1,pooled,762,141,0.18503937007874016,74,0.09711286089238845,30,0.03937007874015748
