model,horizons,MAE,RMSE,MAE_monotonic_increase,RMSE_monotonic_increase
enet_a0.01_l0.2,"[1, 3, 5]","[1.5783717234929402, 1.7959413131078084, 1.8702759742736816]","[1.9724770784378047, 2.2477505207061768, 2.3548243840535483]",True,True
enet_a0.01_l0.5,"[1, 3, 5]","[1.5733778476715088, 1.7926348447799685, 1.873133699099223]","[1.96690046787262, 2.2440013885498047, 2.3568884134292603]",True,True
enet_a0.1_l0.2,"[1, 3, 5]","[1.544630726178487, 1.729895830154419, 1.8082784016927085]","[1.9364512364069624, 2.172788619995117, 2.2813096841176352]",True,True
enet_a0.1_l0.5,"[1, 3, 5]","[1.5372939109802246, 1.7191454966862996, 1.799362103144328]","[1.9287165403366089, 2.163148125012716, 2.268249273300171]",True,True
enet_a1.0_l0.2,"[1, 3, 5]","[1.6070917050043745, 1.7274152040481567, 1.794438322385152]","[2.013991355895996, 2.1844985485076904, 2.266522844632467]",True,True
enet_a1.0_l0.5,"[1, 3, 5]","[1.7068219582239788, 1.8087366422017408, 1.874491651852925]","[2.1309617360432944, 2.2640947500864663, 2.3431595961252847]",True,True
persistence,"[1, 3, 5]","[1.5460530816726483, 2.0250068772608736, 2.0774835591573804]","[2.044486237973267, 2.578892839628263, 2.6533337137266915]",True,True
