horizon,outer_fold,N,events_tau15,prevalence_tau15,events_tau16,prevalence_tau16,events_tau17,prevalence_tau17
3,1,249,59,0.23694779116465864,31,0.12449799196787148,16,0.0642570281124498
3,2,249,20,0.08032128514056225,7,0.028112449799196786,1,0.004016064257028112
3,3,249,55,0.22088353413654618,33,0.13253012048192772,12,0.04819277108433735
3,pooled,747,134,0.17938420348058903,71,0.09504685408299866,29,0.038821954484605084
