horizon,model,outer_fold,metric,source_value,recomputed_value,absolute_delta,tolerance,pass,aggregation_method,MASE_method,source_file,source_checksum
3,HGBR,1,MASE,1.5292859419834135,1.5292859419834137,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,1,MSE,5.29249265608617,5.2924926560861705,8.881784197001252e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,1,RMSE,2.30054181793902,2.30054181793902,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,2,MAE,1.5457726346779608,1.5457726346779608,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,2,MASE,1.228769834910569,1.2287698349105691,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,2,MSE,3.9481529080879896,3.9481529080879896,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,2,RMSE,1.9869959506974315,1.9869959506974315,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,3,MAE,1.98089694841384,1.9808969484138397,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,3,MASE,1.4741172141902,1.4741172141902004,4.440892098500626e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,3,MSE,6.036866361263907,6.036866361263907,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,3,RMSE,2.457003533018198,2.457003533018198,0.0,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_by_fold.csv,0abb3b0c65c6f4c1142694fb54f68cd21ee5734fdaf216c1de8dbed3d2f4ca87
3,HGBR,pooled,MAE,1.763640238285536,1.763640238285536,0.0,1e-12,True,pooled_rows_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_pooled.csv,2a414b325fd156e170d40d1c0504dd3b7926010a369d11bea1fb9b670f8bbde7
3,HGBR,pooled,MASE,1.410724330361394,1.410724330361394,0.0,1e-12,True,pooled_rows_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_pooled.csv,2a414b325fd156e170d40d1c0504dd3b7926010a369d11bea1fb9b670f8bbde7
3,HGBR,pooled,MSE,5.0925039751460215,5.092503975146022,8.881784197001252e-16,1e-12,True,pooled_rows_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_pooled.csv,2a414b325fd156e170d40d1c0504dd3b7926010a369d11bea1fb9b670f8bbde7
3,HGBR,pooled,RMSE,2.256657700039158,2.256657700039158,0.0,1e-12,True,pooled_rows_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/hgbr/hgbr_metrics_pooled.csv,2a414b325fd156e170d40d1c0504dd3b7926010a369d11bea1fb9b670f8bbde7
3,Persistence,1,MAE,1.845983935742972,1.8459839357429717,2.220446049250313e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
3,Persistence,1,MASE,1.6001334680936337,1.600133468093634,4.440892098500626e-16,1e-12,True,fold_level_direct,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator,revision_2026/04_controlled_reruns/persistence/persistence_metrics_by_fold.csv,6c716094f371283a2f9b77701b1e60db738e54e4bbc188d99976cc2d10c7dcb1
