model,model_version,horizon,outer_fold,selected_epoch,best_validation_recall_tau16_r05,best_validation_MAE,training_epochs_completed,inner_train_N,inner_validation_N,outer_test_N,scaler_fit_partition,positive_weight_source,training_partition,validation_partition,checkpoint_selection_metric,checkpoint_tie_rule,outer_test_accessed_for_selection,seed,pos_weight_tau15,pos_weight_tau16,pos_weight_tau17,mase_denom_m1_training_only,run_id
BCR-TCN,1.1,5,1,0,0.0,13.372221946716309,26,202,37,249,inner_train_only,inner_train_labels_only,inner_train_only,inner_validation_only,validation_recall_tau16_r05,earliest_epoch_for_tied_max_recall,False,42,32.665566925913495,1000000.0,1000000.0,1.129253625869751,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,0,0.0,12.100308895111084,26,414,74,249,inner_train_only,inner_train_labels_only,inner_train_only,inner_validation_only,validation_recall_tau16_r05,earliest_epoch_for_tied_max_recall,False,42,4.999970000179999,11.545309704296438,24.87435637602877,1.230944275856018,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,0,0.0,12.327805042266846,26,625,112,249,inner_train_only,inner_train_labels_only,inner_train_only,inner_validation_only,validation_recall_tau16_r05,earliest_epoch_for_tied_max_recall,False,42,6.440428270622987,15.447114356671765,33.7210513523836,1.2782692909240723,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
