model,model_version,horizon,outer_fold,epoch,training_total_loss,training_regression_loss,training_bce_loss,training_ranking_loss,validation_recall_tau16_r05,validation_MAE,gradient_norm_before_clipping,gradient_norm_after_clipping,clipping_applied,selected_checkpoint,training_partition,validation_partition,seed,run_id
BCR-TCN,1.1,5,1,21,1.7375237345695496,1.4604350328445435,0.2983529679477215,0.07005493668839335,0.0,2.5941431522369385,10.337467670440674,0.999999925494194,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,22,1.7414630949497223,1.5711120963096619,0.22285516560077667,0.026169935707002878,0.0,2.7924044132232666,11.319600701332092,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,23,1.728110134601593,1.4808166325092316,0.26737748831510544,0.062047842890024185,0.0,2.186192750930786,11.806888222694397,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,24,1.6686989068984985,1.5188482403755188,0.19240208715200424,0.02457813313230872,0.0,1.3367664813995361,7.209831237792969,0.9999998360872269,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,1,25,1.7283934950828552,1.5584433674812317,0.2140890210866928,0.029640452470630407,0.0,2.2257771492004395,16.696266651153564,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,0,13.884590557643346,12.027839524405342,1.1912656426429749,0.8157084328787667,0.0,12.100308895111084,2.2211294855390276,0.9999995657375881,True,True,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,1,13.33793476649693,11.591006415230888,1.1832333632877894,0.7407059158597674,0.0,11.660050868988037,3.362698418753488,0.9999996934618268,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,2,11.240525926862444,9.676953792572021,1.1042636632919312,0.6435814457280296,0.0,9.604519367218018,8.887573446546282,0.9999998978206089,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,3,7.7593368121555875,5.769561971936907,1.28681914295469,0.8697738306862968,0.0,3.628696084022522,20.855491501944407,0.9999999318804059,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,4,6.702296188899449,4.716011115482876,1.4079040799822127,0.8153875938483647,0.0,5.4496660232543945,30.205277579171316,0.9999999744551522,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,5,5.176990917750767,3.68981443132673,1.0907264947891235,0.5948147475719452,0.0,4.636170148849487,19.670963832310267,0.9999999403953552,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,6,4.280079875673566,2.5243565355028426,1.0975856525557381,0.7836942715304238,0.0,3.434790253639221,19.98249285561698,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,7,3.757779564176287,2.2823588848114014,1.1071015085492815,0.5793997730527606,0.0,4.26889705657959,11.773520469665527,0.9999998978206089,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,8,3.338616575513567,2.0775091307503835,1.010011843272618,0.4679287906203951,0.0,3.537859559059143,10.449754442487444,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,9,3.2480264050619945,1.959182790347508,0.9721327679497855,0.5039742887020111,0.0,3.4173572063446045,9.79421601976667,0.9999998722757611,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,10,3.2274303436279297,1.989421810422625,0.9750215070588248,0.466425427368709,0.0,3.9043281078338623,10.065094334738594,0.9999998893056598,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,11,3.1052374158586775,1.8959551879337855,0.913956310067858,0.47207747186933247,0.0,3.3453469276428223,7.495650155203683,0.9999998382159642,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,12,3.1519997801099504,1.9131207636424474,0.9520067317145211,0.47691069756235394,0.0,3.027152895927429,9.935638495853969,0.999999863760812,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,13,2.935009275163923,1.831164973122733,0.8821378946304321,0.4104010654347284,0.0,3.0310651063919067,8.786229065486364,0.9999998552458627,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,14,3.041008472442627,1.91234290599823,0.8676972133772713,0.43431941100529264,0.0,3.315322160720825,10.566790853227888,0.9999998382159642,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,15,2.8355426447732106,1.7301428999219621,0.8783152444022042,0.41315043185438427,0.0,3.1662168502807617,10.17860916682652,0.9999998211860657,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,16,2.7210772718702043,1.5883859736578805,0.9145616292953491,0.4171102430139269,0.0,2.7103312015533447,10.221220084599086,0.9999999148505074,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,17,2.689773287091936,1.6757439034325736,0.8381964990070888,0.365079654114587,0.0,2.6042559146881104,9.250532150268555,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,18,2.6086112090519498,1.659267783164978,0.8030480827604022,0.33393895838941845,0.0,2.1725285053253174,9.759263924189977,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,19,2.4964437995638167,1.6380698340279716,0.7880305647850037,0.2753968707152775,0.0,2.537507653236389,10.176205566951207,0.999999863760812,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,20,2.672475644520351,1.9044197457177299,0.725768370287759,0.23756780368941172,0.0,1.9304913878440857,9.856693949018206,0.9999999063355582,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,21,2.6464048453739712,1.8331793716975622,0.7304832765034267,0.26781108123915537,0.0,2.236944556236267,13.678646223885673,0.9999998893056598,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,22,2.481816904885428,1.5714778389249529,0.7701178107942853,0.32019171118736267,0.0,2.249141573905945,7.577257701328823,0.999999863760812,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,23,2.311493754386902,1.597595146724156,0.6880397796630859,0.215053385921887,0.0,1.978765606880188,9.79341186795916,0.9999998978206089,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,24,2.4462954827717374,1.637355021068028,0.7168956398963928,0.2705736479588917,0.0,2.3943980932235718,10.217481068202428,0.999999829701015,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,25,2.1247328349522183,1.4182345952306474,0.705755489213126,0.20217489770480565,0.0,1.8866664171218872,8.240614414215088,0.9999998552458627,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,0,13.755592250823975,11.83307867050171,1.2503793954849243,0.8373469412326813,0.0,12.327805042266846,2.1899814009666443,0.9999995470046997,True,True,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,1,12.546064376831055,10.94897689819336,1.1425379753112792,0.6511176586151123,0.0,10.354586601257324,4.46155092716217,0.9999997437000274,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,2,8.941691970825195,6.481568336486816,1.4813526153564454,1.1223657086491585,0.0,6.712762355804443,30.035508346557616,0.9999998927116394,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,3,5.957562780380249,4.242332696914673,1.2847349643707275,0.6745636314153671,0.0,5.193537473678589,27.496581745147704,0.9999999463558197,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,4,4.258730173110962,2.8055973768234255,1.118086612224579,0.5587719641625881,0.0,2.5319470167160034,13.597503089904786,0.9999999046325684,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,5,3.7357794523239134,2.2208651542663573,1.1365806043148041,0.5949756413698196,0.0,2.739570379257202,10.927179336547852,0.9999999046325684,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,6,3.38211350440979,2.0233453273773194,1.0614484012126923,0.5156421929597854,0.0,2.695765435695648,9.709685468673706,0.999999874830246,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,7,3.0869548082351685,1.8552097082138062,0.9886261701583863,0.4561210036277771,0.0,2.594452977180481,12.92371973991394,0.9999998867511749,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,8,3.1742327928543093,1.9670045495033264,0.9237759709358215,0.46640190184116365,0.0,2.498036026954651,11.885407543182373,0.9999999105930328,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,9,3.2779659748077394,1.8280128479003905,0.9534317910671234,0.6270671635866165,0.0,2.2822054624557495,11.397208404541015,0.9999998867511749,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,10,2.9331284403800963,1.7900872826576233,0.8965409934520722,0.4322261095046997,0.0,2.368808150291443,10.005856800079346,0.999999874830246,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,11,2.9214438438415526,1.736836302280426,0.9316226780414582,0.4468813925981522,0.0,2.237391233444214,10.639057397842407,0.999999862909317,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,12,2.8791885375976562,1.6917595744132996,0.9018073797225952,0.46167467534542084,0.0,2.0967822670936584,9.300491380691529,0.9999998569488525,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,13,2.8770610094070435,1.7065006017684936,0.9346155822277069,0.43556502312421796,0.0,2.1617122888565063,7.523615217208862,0.9999998569488525,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,14,2.6290162086486815,1.69541757106781,0.8124623477458954,0.3186579540371895,0.0,2.0987130403518677,6.390652418136597,0.9999998390674592,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,15,2.579557418823242,1.528748083114624,0.8675221383571625,0.37878288626670836,0.0,2.861232042312622,8.384634590148925,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,16,2.6167991399765014,1.5596593260765075,0.8679769217967988,0.3831097975373268,0.0,2.2451592683792114,7.848931741714478,0.9999998688697815,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,17,2.3594199419021606,1.440539336204529,0.7976791024208069,0.3144808426499367,0.0,2.1951934099197388,8.00554084777832,0.9999998450279236,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,18,2.4386109590530394,1.6074861884117126,0.7419826328754425,0.27566794753074647,0.0,2.0239001512527466,10.749286079406739,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,19,2.4966527581214906,1.5311114311218261,0.8003699988126755,0.3466566413640976,0.0,2.8403090238571167,9.56632080078125,0.999999874830246,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,20,2.158350682258606,1.4365305185317994,0.6570284098386765,0.2340021923184395,0.0,2.7096800208091736,7.369141674041748,0.999999874830246,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,21,2.2190117597579957,1.3827600121498107,0.7220077991485596,0.2878907710313797,0.0,2.8375539779663086,8.373738956451415,0.9999998986721039,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,22,2.172622859477997,1.4011868476867675,0.7057937979698181,0.2485426515340805,0.0,3.157001256942749,7.219376420974731,0.9999998807907104,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,23,2.0525000929832458,1.4330683946609497,0.6014627605676651,0.1846814528107643,0.0,2.6384421586990356,7.06999831199646,0.9999998390674592,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,24,2.0559795260429383,1.4567889332771302,0.5971395015716553,0.17207635045051575,0.0,2.2478021383285522,6.724276399612426,0.9999998509883881,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,3,25,2.02339688539505,1.3434128880500793,0.6355670690536499,0.21331698298454285,0.0,2.458264172077179,6.263003253936768,0.9999998450279236,True,False,inner_train_only,inner_validation_only,42,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
