model,model_version,horizon,outer_fold,epoch,gradient_norm_before_clipping,gradient_norm_after_clipping,clipping_applied,selected_checkpoint,validation_recall_tau16_r05,validation_MAE,run_id
BCR-TCN,1.1,5,2,3,20.855491501944407,0.9999999318804059,True,False,0.0,3.628696084022522,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,4,30.205277579171316,0.9999999744551522,True,False,0.0,5.4496660232543945,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,5,19.670963832310267,0.9999999403953552,True,False,0.0,4.636170148849487,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,6,19.98249285561698,0.9999999063355582,True,False,0.0,3.434790253639221,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,7,11.773520469665527,0.9999998978206089,True,False,0.0,4.26889705657959,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,8,10.449754442487444,0.9999999063355582,True,False,0.0,3.537859559059143,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,9,9.79421601976667,0.9999998722757611,True,False,0.0,3.4173572063446045,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,10,10.065094334738594,0.9999998893056598,True,False,0.0,3.9043281078338623,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,11,7.495650155203683,0.9999998382159642,True,False,0.0,3.3453469276428223,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,12,9.935638495853969,0.999999863760812,True,False,0.0,3.027152895927429,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,13,8.786229065486364,0.9999998552458627,True,False,0.0,3.0310651063919067,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,14,10.566790853227888,0.9999998382159642,True,False,0.0,3.315322160720825,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,15,10.17860916682652,0.9999998211860657,True,False,0.0,3.1662168502807617,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,16,10.221220084599086,0.9999999148505074,True,False,0.0,2.7103312015533447,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,17,9.250532150268555,0.9999999063355582,True,False,0.0,2.6042559146881104,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,18,9.759263924189977,0.9999999063355582,True,False,0.0,2.1725285053253174,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,19,10.176205566951207,0.999999863760812,True,False,0.0,2.537507653236389,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,20,9.856693949018206,0.9999999063355582,True,False,0.0,1.9304913878440857,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,21,13.678646223885673,0.9999998893056598,True,False,0.0,2.236944556236267,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,22,7.577257701328823,0.999999863760812,True,False,0.0,2.249141573905945,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,23,9.79341186795916,0.9999998978206089,True,False,0.0,1.978765606880188,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,24,10.217481068202428,0.999999829701015,True,False,0.0,2.3943980932235718,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
BCR-TCN,1.1,5,2,25,8.240614414215088,0.9999998552458627,True,False,0.0,1.8866664171218872,bcr_tcn_v11_h5_corrected_4d16b4d513e4_6ed147cd_f83baf57
