horizon,outer_fold,candidate_alpha,inner_validation_N,inner_validation_MAE,inner_validation_MSE,inner_validation_RMSE,selected,selection_reason,inner_train_date_start,inner_train_date_end,inner_validation_date_start,inner_validation_date_end,outer_test_accessed_during_selection
5,1,0.01,37,2.336506082472248,7.673446243265005,2.77009859811253,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,0.1,37,2.338653989781222,7.689332704190286,2.7729646056504733,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,1.0,37,2.353325517549787,7.806395913807583,2.7939928263701006,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,10.0,37,2.353793692967384,7.849892617466531,2.8017659819239955,False,not_selected_higher_inner_validation_MAE,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,100.0,37,2.2899436041310572,7.483126695815498,2.735530423120075,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,2,0.01,74,1.9455981370744984,6.025713622797619,2.4547329025369784,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,0.1,74,1.9443580592077665,6.019233798654285,2.453412684130879,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,1.0,74,1.9321291142892028,5.955378761670877,2.440364473120947,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,10.0,74,1.836750057955147,5.458145566705353,2.3362674433175137,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,100.0,74,1.6372556465381727,4.3253645608111295,2.079751081454492,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,3,0.01,112,1.7566311509687538,5.362893522011002,2.3157922018201464,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,0.1,112,1.7564143569389727,5.361355003680409,2.315459998289845,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,1.0,112,1.7545562542816933,5.346992307473637,2.312356440403087,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,10.0,112,1.7431698807226401,5.25512419040616,2.29240576478209,False,not_selected_higher_inner_validation_MAE,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,100.0,112,1.6976768383389425,4.912921096267939,2.216511018756266,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
