horizon,outer_fold,candidate_alpha,candidate_l1_ratio,candidate_name,inner_validation_N,inner_validation_MAE,inner_validation_MSE,inner_validation_RMSE,selected,selection_reason,inner_train_date_start,inner_train_date_end,inner_validation_date_start,inner_validation_date_end,outer_test_accessed_during_selection
3,1,1.0,0.5,enet_a1.0_l0.5,38,2.3671720942888435,7.676036089012574,2.770566023218464,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-28,2021-09-01,2021-10-08,False
3,2,0.01,0.2,enet_a0.01_l0.2,75,1.8522443562146036,5.626710924782885,2.3720689123174488,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,0.01,0.5,enet_a0.01_l0.5,75,1.8453842089814472,5.596866705969976,2.3657697914146203,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,0.1,0.2,enet_a0.1_l0.2,75,1.6326109234050619,4.422140614699069,2.1028886358290753,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,0.1,0.5,enet_a0.1_l0.5,75,1.5943667872468748,4.163036661967954,2.0403520926467458,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,1.0,0.2,enet_a1.0_l0.2,75,1.5657620948447153,3.9403994404595886,1.9850439391760548,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,2,1.0,0.5,enet_a1.0_l0.5,75,1.57114754186891,4.020895903631827,2.005217171189152,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-28,2022-04-01,2022-06-14,False
3,3,0.01,0.2,enet_a0.01_l0.2,112,1.7114534980420635,4.861211495140466,2.204815524061019,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
3,3,0.01,0.5,enet_a0.01_l0.5,112,1.7082259810089329,4.831503693656444,2.198068173113938,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
3,3,0.1,0.2,enet_a0.1_l0.2,112,1.6766190356296435,4.605292158840101,2.145994445202527,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
3,3,0.1,0.5,enet_a0.1_l0.5,112,1.6711029809131088,4.541289717253843,2.1310302009248585,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
3,3,1.0,0.2,enet_a1.0_l0.2,112,1.5822010840822358,4.126039235111716,2.0312654270458395,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
3,3,1.0,0.5,enet_a1.0_l0.5,112,1.5648897108538222,4.001274796608001,2.0003186737637586,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2022-10-26,2022-10-30,2023-02-18,False
5,1,0.01,0.2,enet_a0.01_l0.2,37,2.3715801094179807,7.946147344214814,2.8188911550847107,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,0.01,0.5,enet_a0.01_l0.5,37,2.3897159149161955,8.049876735079309,2.837230469151089,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,0.1,0.2,enet_a0.1_l0.2,37,2.3143370867331647,7.640778326914126,2.7641957830287867,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,0.1,0.5,enet_a0.1_l0.5,37,2.2942010431750313,7.519671444526401,2.7422019335793637,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,1.0,0.2,enet_a1.0_l0.2,37,2.2996908988218996,7.449492188890066,2.729375787408188,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,1,1.0,0.5,enet_a1.0_l0.5,37,2.3859914369815356,7.879038265723816,2.8069624624714553,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2021-08-23,2021-08-29,2021-10-04,False
5,2,0.01,0.2,enet_a0.01_l0.2,74,1.887767989103676,5.7294695704189245,2.3936310430847367,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,0.01,0.5,enet_a0.01_l0.5,74,1.8799671875854032,5.705000672918273,2.388514323364688,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,0.1,0.2,enet_a0.1_l0.2,74,1.6711739928926725,4.5166126997823355,2.125232387242001,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,0.1,0.5,enet_a0.1_l0.5,74,1.6122541115282343,4.223092262451464,2.0550163654948017,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,1.0,0.2,enet_a1.0_l0.2,74,1.577891185479175,4.110667001452302,2.0274779903743227,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,2,1.0,0.5,enet_a1.0_l0.5,74,1.5806062545784645,4.148054953666047,2.036677429949585,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-03-23,2022-03-29,2022-06-10,False
5,3,0.01,0.2,enet_a0.01_l0.2,112,1.7461774571544184,5.273424021039397,2.2963936990506215,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,0.01,0.5,enet_a0.01_l0.5,112,1.7445718973048034,5.254273676265254,2.2922202503828584,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,0.1,0.2,enet_a0.1_l0.2,112,1.7002498165712938,4.907961259085694,2.2153918974045412,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,0.1,0.5,enet_a0.1_l0.5,112,1.689633703499709,4.829370595643616,2.1975828984690464,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,1.0,0.2,enet_a1.0_l0.2,112,1.5570724800767444,4.114309503422018,2.028376075441144,False,not_selected_higher_inner_validation_MAE_or_tie_break_not_won,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
5,3,1.0,0.5,enet_a1.0_l0.5,112,1.5490388520722889,3.981752507773603,1.9954329123710481,True,selected_min_inner_validation_MAE_with_tie_break_smallest_alpha_then_l1_ratio,2021-02-03,2022-10-20,2022-10-26,2023-02-14,False
