model,horizon,outer_fold,configuration_id,feature_count,tnout_features,non_tnout_features,feature_names,feature_hash,tnout_roll_rule,tnout_roll_includes_day_t
HGBR,3,2,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,3,LONG,22,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ab477d773b72fadd442213a69cc02b6def647c737c21cfa80c64a7984be2c36,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,1,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,2,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,3,REFERENCE,18,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,6ef573ff199ebccd82ec27af594e019e06937b9581ac052b842a27f7b1da0206,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,1,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,2,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,3,3,SHORT,17,TNout_lag1; TNout_roll7,Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,TNout_lag1; TNout_roll7; Inflow; Inflow_roll7; TNin; TNin_roll7; TOCin; TOCin_roll7; BODin; BODin_roll7; C_N; temp_mean_c; temp_roll7; precip_total_mm; precip_sum3; sin_doy; cos_doy,c25d18e5b78d4ef93d3387f4bfd00e4c67a2ca0d6afee63b13107fa4e4cec3b5,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,1,LONG,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,2,LONG,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,3,LONG,34,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_lag3; TNout_lag5; TNout_lag7; TNout_roll14; TNout_roll30; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,4e01b973127e8946f084223abcd52732a22b5e71d4370145c34672c224446079,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,1,REFERENCE,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,2,REFERENCE,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
HGBR,5,3,REFERENCE,30,TNout_lag1; TNout_roll14; TNout_roll7,Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,TNout_lag1; TNout_roll14; TNout_roll7; Inflow; Inflow_roll7; Inflow_roll14; TNin; TNin_roll7; TNin_roll14; TOCin; TOCin_roll7; TOCin_roll14; BODin; BODin_roll7; BODin_roll14; C_N; C_N_roll14; temp_mean_c; temp_roll7; temp_roll14; temp_roll30; precip_total_mm; precip_sum3; precip_sum7; precip_sum14; Inflow_x_precip3; temp_x_CN; Inflow_x_TNin; sin_doy; cos_doy,6c87ac1579de20ce04b3b5494cb7867176d89744c0323b3f918b6311ea3114c1,"TNout_rollw(t)=mean(TNout(t-w),...,TNout(t-1))",False
