horizon,outer_fold,outer_train_before_expected,outer_train_before_observed,outer_train_after_expected,outer_train_after_observed,outer_test_expected,outer_test_observed,outer_purged_expected,outer_purged_observed,inner_train_before_expected,inner_train_before_observed,inner_train_after_expected,inner_train_after_observed,inner_validation_expected,inner_validation_observed,inner_purged_expected,inner_purged_observed,outer_boundary_pass,inner_boundary_pass,embargo_pass
1,1,254,254,253,253,254,254,1,1,215,215,214,214,38,38,1,1,True,True,True
1,2,508,508,507,507,254,254,1,1,430,430,429,429,77,77,1,1,True,True,True
1,3,762,762,761,761,254,254,1,1,646,646,645,645,115,115,1,1,True,True,True
3,1,251,251,248,248,249,249,3,3,210,210,207,207,38,38,3,3,True,True,True
3,2,500,500,497,497,249,249,3,3,422,422,419,419,75,75,3,3,True,True,True
3,3,749,749,746,746,249,249,3,3,634,634,631,631,112,112,3,3,True,True,True
5,1,249,249,244,244,249,249,5,5,207,207,202,202,37,37,5,5,True,True,True
5,2,498,498,493,493,249,249,5,5,419,419,414,414,74,74,5,5,True,True,True
5,3,747,747,742,742,249,249,5,5,630,630,625,625,112,112,5,5,True,True,True
