model,horizon,configuration_id,outer_fold,tau,budget_fraction,N,k,event_count,true_positives,false_positives,false_negatives,recall,precision,tie_break_rule,retrospective_only,diagnostic_label
HGBR,5,SHORT,3,16.0,0.05,249,13,33,8,5,25,0.24242424242424243,0.6153846153846154,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,LONG,1,16.0,0.05,254,13,34,5,8,29,0.14705882352941177,0.38461538461538464,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,LONG,2,16.0,0.05,254,13,6,0,13,6,0.0,0.0,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,LONG,3,16.0,0.05,254,13,34,7,6,27,0.20588235294117646,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,REFERENCE,1,16.0,0.05,254,13,34,5,8,29,0.14705882352941177,0.38461538461538464,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,REFERENCE,2,16.0,0.05,254,13,6,0,13,6,0.0,0.0,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,REFERENCE,3,16.0,0.05,254,13,34,7,6,27,0.20588235294117646,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,SHORT,1,16.0,0.05,254,13,34,6,7,28,0.17647058823529413,0.46153846153846156,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,SHORT,2,16.0,0.05,254,13,6,0,13,6,0.0,0.0,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
Ridge,1,SHORT,3,16.0,0.05,254,13,34,7,6,27,0.20588235294117646,0.5384615384615384,y_pred_desc_then_feature_date_asc_then_target_date_asc_then_canonical_test_row_asc,True,retrospective_offline_fixed_budget_sensitivity_evidence_only
