model,horizon,outer_fold,threshold,nominal_budget_r,metric_scope,primary_reference,total_N,total_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,startup_N,eligible_N,score_context,sequential_run_id
Persistence,5,1,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,8,0.0321285140562249,0,8,16,225,0.0,0.0,0.9656652360515021,0.034334763948497854,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,18,0.07228915662650602,2,16,14,217,0.1111111111111111,0.125,0.9313304721030042,0.06866952789699571,0.8888888888888888,0.875,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,24,0.0963855421686747,1,23,19,206,0.041666666666666664,0.05,0.8995633187772926,0.10043668122270742,0.9583333333333334,0.95,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,44,0.17670682730923695,4,40,16,189,0.09090909090909091,0.2,0.8253275109170306,0.17467248908296942,0.9090909090909091,0.8,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,24,0.0963855421686747,0,24,7,218,0.0,0.0,0.9008264462809917,0.09917355371900827,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,44,0.17670682730923695,2,42,5,200,0.045454545454545456,0.2857142857142857,0.8264462809917356,0.17355371900826447,0.9545454545454546,0.7142857142857143,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,24,0.0963855421686747,0,24,1,224,0.0,0.0,0.9032258064516129,0.0967741935483871,1.0,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,44,0.17670682730923695,1,43,0,205,0.022727272727272728,1.0,0.8266129032258065,0.17338709677419356,0.9772727272727273,0.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,22,0.08835341365461848,10,12,45,182,0.45454545454545453,0.18181818181818182,0.9381443298969072,0.061855670103092786,0.5454545454545454,0.8181818181818182,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,40,0.1606425702811245,17,23,38,171,0.425,0.3090909090909091,0.8814432989690721,0.11855670103092783,0.575,0.6909090909090909,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,22,0.08835341365461848,7,15,26,201,0.3181818181818182,0.21212121212121213,0.9305555555555556,0.06944444444444445,0.6818181818181818,0.7878787878787878,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,40,0.1606425702811245,12,28,21,188,0.3,0.36363636363636365,0.8703703703703703,0.12962962962962962,0.7,0.6363636363636364,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,22,0.08835341365461848,3,19,9,218,0.13636363636363635,0.25,0.919831223628692,0.08016877637130802,0.8636363636363636,0.75,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,40,0.1606425702811245,6,34,6,203,0.15,0.5,0.8565400843881856,0.14345991561181434,0.85,0.5,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,0,0.0,0,0,59,190,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,59,0,0.0,0,0,59,190,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,0,0.0,0,0,31,218,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,31,0,0.0,0,0,31,218,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,0,0.0,0,0,16,233,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,0,0.0,0,0,16,233,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,2,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,51,0.20481927710843373,9,42,11,187,0.17647058823529413,0.45,0.8165938864628821,0.18340611353711792,0.8235294117647058,0.55,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
