model,outer_fold,threshold,nominal_budget_r,eligible_N,alarms_issued,realized_alarm_fraction,difference_from_nominal,absolute_difference_from_nominal,under_or_over_budget,longest_alarm_streak,maximum_alarms_in_any_7_day_window,days_between_alarms_mean,days_between_alarms_median,burden_audit_pass
HGBR,3,15,0.05,219,18,0.0821917808219178,0.0321917808219178,0.0321917808219178,over,13,7,2.2941176470588234,1.0,True
HGBR,3,15,0.1,219,23,0.1050228310502283,0.005022831050228299,0.005022831050228299,over,14,7,1.7727272727272727,1.0,True
HGBR,3,16,0.05,219,18,0.0821917808219178,0.0321917808219178,0.0321917808219178,over,13,7,2.2941176470588234,1.0,True
HGBR,3,16,0.1,219,23,0.1050228310502283,0.005022831050228299,0.005022831050228299,over,14,7,1.7727272727272727,1.0,True
HGBR,3,17,0.05,219,18,0.0821917808219178,0.0321917808219178,0.0321917808219178,over,13,7,2.2941176470588234,1.0,True
HGBR,3,17,0.1,219,23,0.1050228310502283,0.005022831050228299,0.005022831050228299,over,14,7,1.7727272727272727,1.0,True
HybridRank_fixed_documented,1,15,0.05,219,4,0.0182648401826484,-0.0317351598173516,0.0317351598173516,under,4,4,1.0,1.0,True
HybridRank_fixed_documented,1,15,0.1,219,8,0.0365296803652968,-0.0634703196347032,0.0634703196347032,under,6,6,10.857142857142858,1.0,True
HybridRank_fixed_documented,1,16,0.05,219,3,0.0136986301369863,-0.0363013698630137,0.0363013698630137,under,2,2,8.5,8.5,True
HybridRank_fixed_documented,1,16,0.1,219,13,0.0593607305936073,-0.0406392694063927,0.0406392694063927,under,6,6,4.75,1.0,True
HybridRank_fixed_documented,1,17,0.05,219,7,0.0319634703196347,-0.0180365296803653,0.0180365296803653,under,6,6,3.1666666666666665,1.0,True
HybridRank_fixed_documented,1,17,0.1,219,12,0.0547945205479452,-0.0452054794520548,0.0452054794520548,under,11,7,1.7272727272727273,1.0,True
HybridRank_fixed_documented,2,15,0.05,219,20,0.091324200913242,0.041324200913242,0.041324200913242,over,5,6,9.789473684210526,1.0,True
HybridRank_fixed_documented,2,15,0.1,219,31,0.1415525114155251,0.0415525114155251,0.0415525114155251,over,7,7,6.233333333333333,1.0,True
HybridRank_fixed_documented,2,16,0.05,219,18,0.0821917808219178,0.0321917808219178,0.0321917808219178,over,6,6,4.882352941176471,1.0,True
HybridRank_fixed_documented,2,16,0.1,219,32,0.1461187214611872,0.0461187214611872,0.0461187214611872,over,12,7,5.193548387096774,1.0,True
HybridRank_fixed_documented,2,17,0.05,219,17,0.0776255707762557,0.0276255707762557,0.0276255707762557,over,4,4,8.6875,1.5,True
HybridRank_fixed_documented,2,17,0.1,219,32,0.1461187214611872,0.0461187214611872,0.0461187214611872,over,10,7,4.935483870967742,1.0,True
HybridRank_fixed_documented,3,15,0.05,219,39,0.1780821917808219,0.12808219178082192,0.12808219178082192,over,15,7,5.368421052631579,1.0,True
HybridRank_fixed_documented,3,15,0.1,219,50,0.228310502283105,0.128310502283105,0.128310502283105,over,15,7,4.163265306122449,1.0,True
HybridRank_fixed_documented,3,16,0.05,219,37,0.1689497716894977,0.1189497716894977,0.1189497716894977,over,15,7,5.472222222222222,1.0,True
HybridRank_fixed_documented,3,16,0.1,219,49,0.2237442922374429,0.1237442922374429,0.1237442922374429,over,15,7,4.104166666666667,1.0,True
