model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,startup_N,score_context,sequential_run_id
ElasticNet,5,1,16,0.1,219,28,0,0.0,0,0,28,191,,0.0,1.0,0.0,,1.0,-0.1,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,17,0.05,219,13,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.05,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,1,17,0.1,219,13,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.1,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,15,0.05,219,20,38,0.1735159817351598,8,30,12,169,0.21052631578947367,0.4,0.8492462311557789,0.1507537688442211,0.7894736842105263,0.6,0.1235159817351598,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,15,0.1,219,20,65,0.2968036529680365,10,55,10,144,0.15384615384615385,0.5,0.7236180904522613,0.27638190954773867,0.8461538461538461,0.5,0.1968036529680365,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,16,0.05,219,7,38,0.1735159817351598,4,34,3,178,0.10526315789473684,0.5714285714285714,0.839622641509434,0.16037735849056603,0.8947368421052632,0.42857142857142855,0.1235159817351598,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,16,0.1,219,7,65,0.2968036529680365,4,61,3,151,0.06153846153846154,0.5714285714285714,0.7122641509433962,0.28773584905660377,0.9384615384615385,0.42857142857142855,0.1968036529680365,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,17,0.05,219,1,38,0.1735159817351598,1,37,0,181,0.02631578947368421,1.0,0.8302752293577982,0.16972477064220184,0.9736842105263158,0.0,0.1235159817351598,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,17,0.1,219,1,65,0.2968036529680365,1,64,0,154,0.015384615384615385,1.0,0.7064220183486238,0.29357798165137616,0.9846153846153847,0.0,0.1968036529680365,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,15,0.05,219,49,33,0.1506849315068493,17,16,32,154,0.5151515151515151,0.3469387755102041,0.9058823529411765,0.09411764705882353,0.48484848484848486,0.6530612244897959,0.1006849315068493,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
