model,scope,tau,budget_r,n,k,events,TP,precision,recall
enet_a0.1_l0.2,fold3,16.0,0.1,253,26,34,13,0.5,0.38235294117647056
enet_a0.1_l0.2,fold3,17.0,0.05,253,13,12,3,0.23076923076923078,0.25
enet_a0.1_l0.2,fold3,17.0,0.1,253,26,12,5,0.19230769230769232,0.4166666666666667
enet_a1.0_l0.2,overall,15.0,0.05,759,38,140,17,0.4473684210526316,0.12142857142857143
enet_a1.0_l0.2,overall,15.0,0.1,759,76,140,25,0.32894736842105265,0.17857142857142858
enet_a1.0_l0.2,overall,16.0,0.05,759,38,73,10,0.2631578947368421,0.136986301369863
enet_a1.0_l0.2,overall,16.0,0.1,759,76,73,16,0.21052631578947367,0.2191780821917808
enet_a1.0_l0.2,overall,17.0,0.05,759,38,29,4,0.10526315789473684,0.13793103448275862
enet_a1.0_l0.2,overall,17.0,0.1,759,76,29,6,0.07894736842105263,0.20689655172413793
enet_a1.0_l0.2,fold1,15.0,0.05,253,13,65,8,0.6153846153846154,0.12307692307692308
enet_a1.0_l0.2,fold1,15.0,0.1,253,26,65,11,0.4230769230769231,0.16923076923076924
enet_a1.0_l0.2,fold1,16.0,0.05,253,13,33,3,0.23076923076923078,0.09090909090909091
enet_a1.0_l0.2,fold1,16.0,0.1,253,26,33,4,0.15384615384615385,0.12121212121212122
enet_a1.0_l0.2,fold1,17.0,0.05,253,13,16,1,0.07692307692307693,0.0625
enet_a1.0_l0.2,fold1,17.0,0.1,253,26,16,2,0.07692307692307693,0.125
enet_a1.0_l0.2,fold2,15.0,0.05,253,13,19,0,0.0,0.0
enet_a1.0_l0.2,fold2,15.0,0.1,253,26,19,3,0.11538461538461539,0.15789473684210525
enet_a1.0_l0.2,fold2,16.0,0.05,253,13,6,0,0.0,0.0
enet_a1.0_l0.2,fold2,16.0,0.1,253,26,6,1,0.038461538461538464,0.16666666666666666
enet_a1.0_l0.2,fold2,17.0,0.05,253,13,1,0,0.0,0.0
enet_a1.0_l0.2,fold2,17.0,0.1,253,26,1,1,0.038461538461538464,1.0
enet_a1.0_l0.2,fold3,15.0,0.05,253,13,56,9,0.6923076923076923,0.16071428571428573
enet_a1.0_l0.2,fold3,15.0,0.1,253,26,56,17,0.6538461538461539,0.30357142857142855
enet_a1.0_l0.2,fold3,16.0,0.05,253,13,34,6,0.46153846153846156,0.17647058823529413
enet_a1.0_l0.2,fold3,16.0,0.1,253,26,34,12,0.46153846153846156,0.35294117647058826
enet_a1.0_l0.2,fold3,17.0,0.05,253,13,12,3,0.23076923076923078,0.25
enet_a1.0_l0.2,fold3,17.0,0.1,253,26,12,5,0.19230769230769232,0.4166666666666667
enet_a0.01_l0.5,overall,15.0,0.05,759,38,140,18,0.47368421052631576,0.12857142857142856
enet_a0.01_l0.5,overall,15.0,0.1,759,76,140,32,0.42105263157894735,0.22857142857142856
enet_a0.01_l0.5,overall,16.0,0.05,759,38,73,11,0.2894736842105263,0.1506849315068493
enet_a0.01_l0.5,overall,16.0,0.1,759,76,73,20,0.2631578947368421,0.273972602739726
enet_a0.01_l0.5,overall,17.0,0.05,759,38,29,8,0.21052631578947367,0.27586206896551724
enet_a0.01_l0.5,overall,17.0,0.1,759,76,29,10,0.13157894736842105,0.3448275862068966
enet_a0.01_l0.5,fold1,15.0,0.05,253,13,65,6,0.46153846153846156,0.09230769230769231
enet_a0.01_l0.5,fold1,15.0,0.1,253,26,65,12,0.46153846153846156,0.18461538461538463
