model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,final_capacity,candidate_alarms,issued_alarms,alarms_suppressed_by_quota,unused_final_capacity,realized_alarm_fraction,maximum_prefix_excess_over_capacity
HybridRank_fixed_documented,5,1,16,0.1,219,22,13,11,2,11,0.0502283105022831,0
HybridRank_fixed_documented,5,1,17,0.05,219,11,7,6,1,5,0.0273972602739726,0
HybridRank_fixed_documented,5,1,17,0.1,219,22,12,11,1,11,0.0502283105022831,0
HybridRank_fixed_documented,5,2,15,0.05,219,11,20,6,14,5,0.0273972602739726,0
HybridRank_fixed_documented,5,2,15,0.1,219,22,31,13,18,9,0.0593607305936073,0
HybridRank_fixed_documented,5,2,16,0.05,219,11,18,6,12,5,0.0273972602739726,0
HybridRank_fixed_documented,5,2,16,0.1,219,22,32,12,20,10,0.0547945205479452,0
HybridRank_fixed_documented,5,2,17,0.05,219,11,17,11,6,0,0.0502283105022831,0
HybridRank_fixed_documented,5,2,17,0.1,219,22,32,22,10,0,0.1004566210045662,0
HybridRank_fixed_documented,5,3,15,0.05,219,11,39,11,28,0,0.0502283105022831,0
HybridRank_fixed_documented,5,3,15,0.1,219,22,50,22,28,0,0.1004566210045662,0
HybridRank_fixed_documented,5,3,16,0.05,219,11,37,11,26,0,0.0502283105022831,0
HybridRank_fixed_documented,5,3,16,0.1,219,22,49,22,27,0,0.1004566210045662,0
HybridRank_fixed_documented,5,3,17,0.05,219,11,37,11,26,0,0.0502283105022831,0
HybridRank_fixed_documented,5,3,17,0.1,219,22,53,22,31,0,0.1004566210045662,0
HybridRank_fixed_documented,5,pooled,15,0.05,657,33,63,21,42,12,0.0319634703196347,0
HybridRank_fixed_documented,5,pooled,15,0.1,657,66,89,43,46,23,0.0654490106544901,0
HybridRank_fixed_documented,5,pooled,16,0.05,657,33,58,20,38,13,0.030441400304414,0
HybridRank_fixed_documented,5,pooled,16,0.1,657,66,94,45,49,21,0.0684931506849315,0
HybridRank_fixed_documented,5,pooled,17,0.05,657,33,61,28,33,5,0.0426179604261796,0
HybridRank_fixed_documented,5,pooled,17,0.1,657,66,97,55,42,11,0.0837138508371385,0
Persistence,5,1,15,0.05,219,11,8,7,1,4,0.0319634703196347,0
Persistence,5,1,15,0.1,219,22,18,16,2,6,0.0730593607305936,0
Persistence,5,1,16,0.05,219,11,8,7,1,4,0.0319634703196347,0
Persistence,5,1,16,0.1,219,22,18,16,2,6,0.0730593607305936,0
Persistence,5,1,17,0.05,219,11,8,7,1,4,0.0319634703196347,0
Persistence,5,1,17,0.1,219,22,18,16,2,6,0.0730593607305936,0
Persistence,5,2,15,0.05,219,11,24,11,13,0,0.0502283105022831,0
Persistence,5,2,15,0.1,219,22,44,22,22,0,0.1004566210045662,0
Persistence,5,2,16,0.05,219,11,24,11,13,0,0.0502283105022831,0
Persistence,5,2,16,0.1,219,22,44,22,22,0,0.1004566210045662,0
Persistence,5,2,17,0.05,219,11,24,11,13,0,0.0502283105022831,0
Persistence,5,2,17,0.1,219,22,44,22,22,0,0.1004566210045662,0
Persistence,5,3,15,0.05,219,11,22,11,11,0,0.0502283105022831,0
Persistence,5,3,15,0.1,219,22,40,22,18,0,0.1004566210045662,0
Persistence,5,3,16,0.05,219,11,22,11,11,0,0.0502283105022831,0
Persistence,5,3,16,0.1,219,22,40,22,18,0,0.1004566210045662,0
Persistence,5,3,17,0.05,219,11,22,11,11,0,0.0502283105022831,0
Persistence,5,3,17,0.1,219,22,40,22,18,0,0.1004566210045662,0
Persistence,5,pooled,15,0.05,657,33,54,29,25,4,0.0441400304414003,0
Persistence,5,pooled,15,0.1,657,66,102,60,42,6,0.091324200913242,0
Persistence,5,pooled,16,0.05,657,33,54,29,25,4,0.0441400304414003,0
Persistence,5,pooled,16,0.1,657,66,102,60,42,6,0.091324200913242,0
Persistence,5,pooled,17,0.05,657,33,54,29,25,4,0.0441400304414003,0
Persistence,5,pooled,17,0.1,657,66,102,60,42,6,0.091324200913242,0
Ridge,5,1,15,0.05,219,11,0,0,0,11,0.0,0
Ridge,5,1,15,0.1,219,22,0,0,0,22,0.0,0
Ridge,5,1,16,0.05,219,11,0,0,0,11,0.0,0
Ridge,5,1,16,0.1,219,22,0,0,0,22,0.0,0
Ridge,5,1,17,0.05,219,11,0,0,0,11,0.0,0
Ridge,5,1,17,0.1,219,22,0,0,0,22,0.0,0
Ridge,5,2,15,0.05,219,11,51,11,40,0,0.0502283105022831,0
Ridge,5,2,15,0.1,219,22,79,22,57,0,0.1004566210045662,0
Ridge,5,2,16,0.05,219,11,51,11,40,0,0.0502283105022831,0
Ridge,5,2,16,0.1,219,22,79,22,57,0,0.1004566210045662,0
Ridge,5,2,17,0.05,219,11,51,11,40,0,0.0502283105022831,0
Ridge,5,2,17,0.1,219,22,79,22,57,0,0.1004566210045662,0
Ridge,5,3,15,0.05,219,11,21,11,10,0,0.0502283105022831,0
Ridge,5,3,15,0.1,219,22,30,22,8,0,0.1004566210045662,0
Ridge,5,3,16,0.05,219,11,21,11,10,0,0.0502283105022831,0
Ridge,5,3,16,0.1,219,22,30,22,8,0,0.1004566210045662,0
Ridge,5,3,17,0.05,219,11,21,11,10,0,0.0502283105022831,0
Ridge,5,3,17,0.1,219,22,30,22,8,0,0.1004566210045662,0
Ridge,5,pooled,15,0.05,657,33,72,22,50,11,0.0334855403348554,0
Ridge,5,pooled,15,0.1,657,66,109,44,65,22,0.0669710806697108,0
Ridge,5,pooled,16,0.05,657,33,72,22,50,11,0.0334855403348554,0
Ridge,5,pooled,16,0.1,657,66,109,44,65,22,0.0669710806697108,0
Ridge,5,pooled,17,0.05,657,33,72,22,50,11,0.0334855403348554,0
Ridge,5,pooled,17,0.1,657,66,109,44,65,22,0.0669710806697108,0
