model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,candidate_alarms,alarms_issued,alarms_suppressed_by_quota,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,date_start,date_end,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
BCR-TCN v1.1,5,2,17,0.1,219,1,35,22,13,0.1004566210045662,0,22,1,196,0.0,0.0,0.8990825688073395,0.10091743119266056,1.0,1.0,0.0004566210045661989,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.05,219,49,13,11,2,0.0502283105022831,8,3,41,167,0.7272727272727273,0.16326530612244897,0.9823529411764705,0.01764705882352941,0.2727272727272727,0.8367346938775511,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,15,0.1,219,49,20,19,1,0.0867579908675799,12,7,37,163,0.631578947368421,0.24489795918367346,0.9588235294117647,0.041176470588235294,0.3684210526315789,0.7551020408163265,-0.013242009132420102,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.05,219,32,3,3,0,0.0136986301369863,1,2,31,185,0.3333333333333333,0.03125,0.9893048128342246,0.0106951871657754,0.6666666666666666,0.96875,-0.0363013698630137,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,16,0.1,219,32,10,10,0,0.045662100456621,5,5,27,182,0.5,0.15625,0.9732620320855615,0.026737967914438502,0.5,0.84375,-0.054337899543379004,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.05,219,12,31,11,20,0.0502283105022831,0,11,12,196,0.0,0.0,0.9468599033816425,0.05314009661835749,1.0,1.0,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
BCR-TCN v1.1,5,3,17,0.1,219,12,46,22,24,0.1004566210045662,3,19,9,188,0.13636363636363635,0.25,0.9082125603864735,0.09178743961352658,0.8636363636363636,0.75,0.0004566210045661989,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,1,15,0.05,219,48,0,0,0,0.0,0,0,48,171,,0.0,1.0,0.0,,1.0,-0.05,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,1,15,0.1,219,48,0,0,0,0.0,0,0,48,171,,0.0,1.0,0.0,,1.0,-0.1,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,1,16,0.05,219,28,0,0,0,0.0,0,0,28,191,,0.0,1.0,0.0,,1.0,-0.05,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
