model,horizon,outer_fold,threshold,nominal_budget_r,pooled_eligible_N,pooled_eligible_events,pooled_candidate_alarms,pooled_alarms,pooled_suppressed_by_quota,pooled_realized_alarm_fraction,pooled_TP,pooled_FP,pooled_FN,pooled_TN,pooled_precision,pooled_recall,pooled_specificity,pooled_false_positive_rate,pooled_false_alarm_fraction_of_alarms,pooled_missed_event_fraction,nominal_budget_difference,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
ElasticNet,5,pooled,17,0.1,657,26,105,44,61,0.0669710806697108,5,39,21,592,0.11363636363636363,0.19230769230769232,0.9381933438985737,0.061806656101426306,0.8863636363636364,0.8076923076923077,-0.0330289193302892,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,15,0.05,657,117,48,20,28,0.030441400304414,9,11,108,529,0.45,0.07692307692307693,0.9796296296296296,0.020370370370370372,0.55,0.9230769230769231,-0.019558599695586,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,15,0.1,657,117,72,42,30,0.0639269406392694,21,21,96,519,0.5,0.1794871794871795,0.9611111111111111,0.03888888888888889,0.5,0.8205128205128205,-0.0360730593607306,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,16,0.05,657,67,48,20,28,0.030441400304414,6,14,61,576,0.3,0.08955223880597014,0.976271186440678,0.023728813559322035,0.7,0.9104477611940298,-0.019558599695586,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,16,0.1,657,67,72,42,30,0.0639269406392694,14,28,53,562,0.3333333333333333,0.208955223880597,0.9525423728813559,0.04745762711864407,0.6666666666666666,0.7910447761194029,-0.0360730593607306,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,17,0.05,657,26,48,20,28,0.030441400304414,2,18,24,613,0.1,0.07692307692307693,0.971473851030111,0.028526148969889066,0.9,0.9230769230769231,-0.019558599695586,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,pooled,17,0.1,657,26,72,42,30,0.0639269406392694,5,37,21,594,0.11904761904761904,0.19230769230769232,0.9413629160063391,0.058637083993660855,0.8809523809523809,0.8076923076923077,-0.0360730593607306,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,15,0.05,657,117,63,21,42,0.0319634703196347,5,16,112,524,0.23809523809523808,0.042735042735042736,0.9703703703703703,0.02962962962962963,0.7619047619047619,0.9572649572649573,-0.0180365296803653,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,15,0.1,657,117,89,43,46,0.0654490106544901,12,31,105,509,0.27906976744186046,0.10256410256410256,0.9425925925925925,0.05740740740740741,0.7209302325581395,0.8974358974358975,-0.0345509893455099,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,16,0.05,657,67,58,20,38,0.030441400304414,3,17,64,573,0.15,0.04477611940298507,0.9711864406779661,0.0288135593220339,0.85,0.9552238805970149,-0.019558599695586,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,16,0.1,657,67,94,45,49,0.0684931506849315,8,37,59,553,0.17777777777777778,0.11940298507462686,0.9372881355932203,0.06271186440677966,0.8222222222222222,0.8805970149253731,-0.0315068493150685,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,17,0.05,657,26,61,28,33,0.0426179604261796,1,27,25,604,0.03571428571428571,0.038461538461538464,0.9572107765451664,0.042789223454833596,0.9642857142857143,0.9615384615384616,-0.007382039573820401,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HybridRank_fixed_documented,5,pooled,17,0.1,657,26,97,55,42,0.0837138508371385,4,51,22,580,0.07272727272727272,0.15384615384615385,0.919175911251981,0.08082408874801902,0.9272727272727272,0.8461538461538461,-0.016286149162861502,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Persistence,5,pooled,15,0.05,657,117,54,29,25,0.0441400304414003,6,23,111,517,0.20689655172413793,0.05128205128205128,0.9574074074074074,0.04259259259259259,0.7931034482758621,0.9487179487179487,-0.005859969558599701,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
Persistence,5,pooled,15,0.1,657,117,102,60,42,0.091324200913242,16,44,101,496,0.26666666666666666,0.13675213675213677,0.9185185185185185,0.08148148148148149,0.7333333333333333,0.8632478632478633,-0.008675799086758001,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
