model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,capacity_bound,unconstrained_alarms,quota_enforced_alarms,alarms_suppressed_by_quota,unconstrained_realized_alarm_fraction,quota_enforced_realized_alarm_fraction,unconstrained_precision,quota_enforced_precision,unconstrained_recall,quota_enforced_recall,unconstrained_TP,unconstrained_FP,unconstrained_FN,unconstrained_TN,quota_enforced_TP,quota_enforced_FP,quota_enforced_FN,quota_enforced_TN,unconstrained_exceeds_capacity,quota_enforced_exceeds_capacity,source_context_unconstrained,source_context_quota
Persistence,5,1,17,0.05,219,11,8,7,1,0.0365296803652968,0.0319634703196347,0.0,0.0,0.0,0.0,0,8,13,198,0,7,13,199,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,1,17,0.1,219,22,18,16,2,0.0821917808219178,0.0730593607305936,0.1111111111111111,0.125,0.15384615384615385,0.15384615384615385,2,16,11,190,2,14,11,192,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,15,0.05,219,11,24,11,13,0.1095890410958904,0.0502283105022831,0.041666666666666664,0.09090909090909091,0.05,0.05,1,23,19,176,1,10,19,189,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,15,0.1,219,22,44,22,22,0.2009132420091324,0.1004566210045662,0.09090909090909091,0.09090909090909091,0.2,0.1,4,40,16,159,2,20,18,179,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,16,0.05,219,11,24,11,13,0.1095890410958904,0.0502283105022831,0.0,0.0,0.0,0.0,0,24,7,188,0,11,7,201,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,16,0.1,219,22,44,22,22,0.2009132420091324,0.1004566210045662,0.045454545454545456,0.045454545454545456,0.2857142857142857,0.14285714285714285,2,42,5,170,1,21,6,191,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,17,0.05,219,11,24,11,13,0.1095890410958904,0.0502283105022831,0.0,0.0,0.0,0.0,0,24,1,194,0,11,1,207,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,2,17,0.1,219,22,44,22,22,0.2009132420091324,0.1004566210045662,0.022727272727272728,0.045454545454545456,1.0,1.0,1,43,0,175,1,21,0,197,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,15,0.05,219,11,22,11,11,0.1004566210045662,0.0502283105022831,0.45454545454545453,0.2727272727272727,0.20408163265306123,0.061224489795918366,10,12,39,158,3,8,46,162,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,15,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.425,0.2727272727272727,0.3469387755102041,0.12244897959183673,17,23,32,147,6,16,43,154,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,16,0.05,219,11,22,11,11,0.1004566210045662,0.0502283105022831,0.3181818181818182,0.18181818181818182,0.21875,0.0625,7,15,25,172,2,9,30,178,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,16,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.3,0.13636363636363635,0.375,0.09375,12,28,20,159,3,19,29,168,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,17,0.05,219,11,22,11,11,0.1004566210045662,0.0502283105022831,0.13636363636363635,0.0,0.25,0.0,3,19,9,188,0,11,12,196,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,3,17,0.1,219,22,40,22,18,0.182648401826484,0.1004566210045662,0.15,0.045454545454545456,0.5,0.08333333333333333,6,34,6,173,1,21,11,186,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,15,0.05,657,33,54,29,25,0.0821917808219178,0.0441400304414003,0.25925925925925924,0.20689655172413793,0.11965811965811966,0.05128205128205128,14,40,103,500,6,23,111,517,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,15,0.1,657,66,102,60,42,0.1552511415525114,0.091324200913242,0.29411764705882354,0.26666666666666666,0.2564102564102564,0.13675213675213677,30,72,87,468,16,44,101,496,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,16,0.05,657,33,54,29,25,0.0821917808219178,0.0441400304414003,0.16666666666666666,0.10344827586206896,0.13432835820895522,0.04477611940298507,9,45,58,545,3,26,64,564,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,16,0.1,657,66,102,60,42,0.1552511415525114,0.091324200913242,0.21568627450980393,0.18333333333333332,0.3283582089552239,0.16417910447761194,22,80,45,510,11,49,56,541,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,17,0.05,657,33,54,29,25,0.0821917808219178,0.0441400304414003,0.05555555555555555,0.0,0.11538461538461539,0.0,3,51,23,580,0,29,26,602,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,pooled,17,0.1,657,66,102,60,42,0.1552511415525114,0.091324200913242,0.08823529411764706,0.06666666666666667,0.34615384615384615,0.15384615384615385,9,93,17,538,4,56,22,575,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,15,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,48,171,0,0,48,171,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,15,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,48,171,0,0,48,171,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,16,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,28,191,0,0,28,191,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,16,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,28,191,0,0,28,191,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,17,0.05,219,11,0,0,0,0.0,0.0,,,0.0,0.0,0,0,13,206,0,0,13,206,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,1,17,0.1,219,22,0,0,0,0.0,0.0,,,0.0,0.0,0,0,13,206,0,0,13,206,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,15,0.05,219,11,51,11,40,0.2328767123287671,0.0502283105022831,0.17647058823529413,0.18181818181818182,0.45,0.1,9,42,11,157,2,9,18,190,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,15,0.1,219,22,79,22,57,0.3607305936073059,0.1004566210045662,0.17721518987341772,0.13636363636363635,0.7,0.15,14,65,6,134,3,19,17,180,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,16,0.05,219,11,51,11,40,0.2328767123287671,0.0502283105022831,0.11764705882352941,0.0,0.8571428571428571,0.0,6,45,1,167,0,11,7,201,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,16,0.1,219,22,79,22,57,0.3607305936073059,0.1004566210045662,0.0759493670886076,0.045454545454545456,0.8571428571428571,0.14285714285714285,6,73,1,139,1,21,6,191,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,17,0.05,219,11,51,11,40,0.2328767123287671,0.0502283105022831,0.0196078431372549,0.0,1.0,0.0,1,50,0,168,0,11,1,207,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,2,17,0.1,219,22,79,22,57,0.3607305936073059,0.1004566210045662,0.012658227848101266,0.0,1.0,0.0,1,78,0,140,0,22,1,196,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,15,0.05,219,11,21,11,10,0.0958904109589041,0.0502283105022831,0.7619047619047619,0.7272727272727273,0.32653061224489793,0.16326530612244897,16,5,33,165,8,3,41,167,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,15,0.1,219,22,30,22,8,0.136986301369863,0.1004566210045662,0.6666666666666666,0.5909090909090909,0.40816326530612246,0.2653061224489796,20,10,29,160,13,9,36,161,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,16,0.05,219,11,21,11,10,0.0958904109589041,0.0502283105022831,0.6190476190476191,0.7272727272727273,0.40625,0.25,13,8,19,179,8,3,24,184,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,16,0.1,219,22,30,22,8,0.136986301369863,0.1004566210045662,0.5333333333333333,0.5,0.5,0.34375,16,14,16,173,11,11,21,176,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,17,0.05,219,11,21,11,10,0.0958904109589041,0.0502283105022831,0.23809523809523808,0.18181818181818182,0.4166666666666667,0.16666666666666666,5,16,7,191,2,9,10,198,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,3,17,0.1,219,22,30,22,8,0.136986301369863,0.1004566210045662,0.26666666666666666,0.22727272727272727,0.6666666666666666,0.4166666666666667,8,22,4,185,5,17,7,190,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,15,0.05,657,33,72,22,50,0.1095890410958904,0.0334855403348554,0.3472222222222222,0.45454545454545453,0.21367521367521367,0.08547008547008547,25,47,92,493,10,12,107,528,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,15,0.1,657,66,109,44,65,0.1659056316590563,0.0669710806697108,0.3119266055045872,0.36363636363636365,0.2905982905982906,0.13675213675213677,34,75,83,465,16,28,101,512,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,16,0.05,657,33,72,22,50,0.1095890410958904,0.0334855403348554,0.2638888888888889,0.36363636363636365,0.2835820895522388,0.11940298507462686,19,53,48,537,8,14,59,576,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,16,0.1,657,66,109,44,65,0.1659056316590563,0.0669710806697108,0.2018348623853211,0.2727272727272727,0.3283582089552239,0.1791044776119403,22,87,45,503,12,32,55,558,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,17,0.05,657,33,72,22,50,0.1095890410958904,0.0334855403348554,0.08333333333333333,0.09090909090909091,0.23076923076923078,0.07692307692307693,6,66,20,565,2,20,24,611,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Ridge,5,pooled,17,0.1,657,66,109,44,65,0.1659056316590563,0.0669710806697108,0.08256880733944955,0.11363636363636363,0.34615384615384615,0.19230769230769232,9,100,17,531,5,39,21,592,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
