fold,tau,rank_objective,objective_1,objective_2,objective_3,baseline_prec_floor_r005,w_tcn,w_y_pred_enet,w_y_pred_persist,w_y_pred_hgbr,train_prec_r005,train_rec_r005,train_prec_r010,train_rec_r010
1,15,paper_keypoints,0.76,0.25333333333333335,0.2733333333333333,0.4,0.0,0.4375,0.12500000000000003,0.4375,0.76,0.25333333333333335,0.44,0.29333333333333333
1,16,paper_keypoints,0.4,0.56,0.36,0.48,0.4999999999999999,0.0,0.16666666666666666,0.3333333333333333,0.56,0.35,0.36,0.45
1,17,paper_keypoints,0.6153846153846154,0.23,0.0,0.24,0.0,0.2,0.2,0.6,0.28,0.5384615384615384,0.18,0.6923076923076923
2,15,paper_keypoints,0.88,0.19298245614035087,0.2324561403508772,0.72,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.23076923076923075,0.88,0.19298245614035087,0.62,0.2719298245614035
2,16,paper_keypoints,0.328125,0.64,0.52,0.6,0.15789473684210525,0.052631578947368425,0.4736842105263158,0.3157894736842105,0.64,0.25,0.52,0.40625
2,17,paper_keypoints,0.375,0.3,0.0,0.28,0.052631578947368425,0.15789473684210525,0.2631578947368421,0.5263157894736842,0.36,0.32142857142857145,0.24,0.42857142857142855
3,15,paper_keypoints,0.64,0.20253164556962025,0.22151898734177217,0.52,0.3125,0.12500000000000003,0.375,0.1875,0.64,0.20253164556962025,0.38,0.24050632911392406
3,16,paper_keypoints,0.34210526315789475,0.36,0.34,0.28,0.0,0.0,0.6,0.4,0.36,0.23684210526315788,0.34,0.4473684210526316
3,17,paper_keypoints,0.3235294117647059,0.16,0.0,0.12,0.0,0.0,0.25,0.7499999999999999,0.2,0.29411764705882354,0.12,0.35294117647058826
