model,scope,tau,budget_r,n,k,events,TP,precision,recall
hybrid_rank_v2,overall,15,0.05,747,38,134,18,0.47368421052631576,0.13432835820895522
hybrid_rank_v2,overall,15,0.1,747,75,134,33,0.44,0.2462686567164179
hybrid_rank_v2,overall,16,0.05,747,38,71,12,0.3157894736842105,0.16901408450704225
hybrid_rank_v2,overall,16,0.1,747,75,71,26,0.3466666666666667,0.36619718309859156
hybrid_rank_v2,overall,17,0.05,747,38,29,10,0.2631578947368421,0.3448275862068966
hybrid_rank_v2,overall,17,0.1,747,75,29,13,0.17333333333333334,0.4482758620689655
hybrid_rank_v2,fold1,15,0.05,249,13,59,7,0.5384615384615384,0.11864406779661017
hybrid_rank_v2,fold1,15,0.1,249,25,59,12,0.48,0.2033898305084746
hybrid_rank_v2,fold1,16,0.05,249,13,31,2,0.15384615384615385,0.06451612903225806
hybrid_rank_v2,fold1,16,0.1,249,25,31,8,0.32,0.25806451612903225
hybrid_rank_v2,fold1,17,0.05,249,13,16,4,0.3076923076923077,0.25
hybrid_rank_v2,fold1,17,0.1,249,25,16,4,0.16,0.25
hybrid_rank_v2,fold2,15,0.05,249,13,20,4,0.3076923076923077,0.2
hybrid_rank_v2,fold2,15,0.1,249,25,20,5,0.2,0.25
hybrid_rank_v2,fold2,16,0.05,249,13,7,3,0.23076923076923078,0.42857142857142855
hybrid_rank_v2,fold2,16,0.1,249,25,7,4,0.16,0.5714285714285714
hybrid_rank_v2,fold2,17,0.05,249,13,1,1,0.07692307692307693,1.0
hybrid_rank_v2,fold2,17,0.1,249,25,1,1,0.04,1.0
hybrid_rank_v2,fold3,15,0.05,249,13,55,8,0.6153846153846154,0.14545454545454545
hybrid_rank_v2,fold3,15,0.1,249,25,55,17,0.68,0.3090909090909091
hybrid_rank_v2,fold3,16,0.05,249,13,33,6,0.46153846153846156,0.18181818181818182
hybrid_rank_v2,fold3,16,0.1,249,25,33,14,0.56,0.42424242424242425
hybrid_rank_v2,fold3,17,0.05,249,13,12,4,0.3076923076923077,0.3333333333333333
hybrid_rank_v2,fold3,17,0.1,249,25,12,8,0.32,0.6666666666666666
hybrid_paper_fixed,overall,15,0.05,747,38,134,21,0.5526315789473685,0.15671641791044777
hybrid_paper_fixed,overall,15,0.1,747,75,134,27,0.36,0.20149253731343283
