variable,n_total_ulsan,n_valid_ulsan,missing_rate_ulsan,mean_ulsan,sd_ulsan,median_ulsan,iqr_ulsan,n_total_seoul,n_valid_seoul,missing_rate_seoul,mean_seoul,sd_seoul,median_seoul,iqr_seoul,delta_mean_seoul_minus_ulsan,delta_median_seoul_minus_ulsan,smd,ks_statistic
BODin,1031,1031,0.0,54.614008330000004,21.657165213550567,50.1,25.299999999999997,1217,1217,0.0,150.6919884963024,48.45410207320184,146.2,69.79999999999998,96.0779801663024,96.1,2.560108235386532,0.8603887538882959
Inflow,1031,1031,0.0,220207.75050514063,17025.35205713721,218410.0,24535.0,1217,1217,0.0,750135.5254724734,112678.76333901775,717538.0,100535.0,529927.7749673327,499128.0,6.576394475646865,1.0
TNin,1031,1031,0.0,24.933293702657615,5.696687516858152,24.18,7.545000000000002,1217,1217,0.0,37.50289687756779,7.8547921319216,37.471,7.972000000000001,12.569603174910178,13.290999999999997,1.8320038588226388,0.7034669693088617
TNout,1031,1031,0.0,12.6902494085354,2.2340692604193513,12.6,2.955000000000002,1217,1217,0.0,11.293576511686936,2.3064342925258874,11.2042232,3.2128130209999988,-1.3966728968484645,-1.3957768000000002,-0.6151280493251492,0.2559839710152089
TOCin,1031,1031,0.0,49.16360174340446,16.25146456127084,47.2,17.5,1217,1217,0.0,93.14650780608054,31.254454191223097,89.6,37.2,43.98290606267607,42.39999999999999,1.7657190429121663,0.7137592480276587
precip_total_mm,1031,1031,0.0,3.6335596508244423,12.829280785450281,0.0,0.1,1217,1217,0.0,3.9186524239934264,13.920608025075941,0.0,0.4,0.28509277316898407,0.0,0.021297719194307608,0.03706623034333367
temp_mean_c,1031,1031,0.0,15.386380536632394,8.595336446698234,16.125,13.631250001999998,1217,1217,0.0,12.904847986852918,10.506032939336912,13.5,17.3,-2.4815325497794767,-2.625,-0.2585374863066976,0.12644822339839662
