dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,enrichment,3,16.0,0.1,Persistence,persistence,Persistence,main_alarm,2.876712328767123,3.809523809523809,0.9328114807566861,32.426303854875286,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,4.827586206896552,8.888888888888888,4.061302681992336,84.1269841269841,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,HGBR,hgbr,HGBR,,,11.11111111111111,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,17.0,0.05,Persistence,persistence,Persistence,main_alarm,2.0689655172413777,6.666666666666666,4.597701149425289,222.22222222222248,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,3.103448275862069,5.555555555555555,2.4521072796934864,79.01234567901234,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,3,17.0,0.1,HGBR,hgbr,HGBR,,,7.777777777777778,,,higher_is_better,0,
Seoul_Tancheon,alarm,enrichment,3,17.0,0.1,Persistence,persistence,Persistence,main_alarm,2.068965517241379,3.333333333333333,1.264367816091954,61.11111111111112,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,2.857142857142856,5.507246376811594,2.650103519668738,92.75362318840585,higher_is_better,1,1.0
Seoul_Tancheon,alarm,enrichment,5,15.0,0.05,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,2.835820895522388,1.7391304347826086,-1.0966904607397792,-38.67276887871853,higher_is_better,1,0.0
Seoul_Tancheon,alarm,enrichment,5,15.0,0.05,Persistence,persistence,Persistence,main_alarm,2.714285714285714,4.057971014492754,1.34368530020704,49.50419527078569,higher_is_better,1,1.0
