model,tau,budget_r,n,k,events,TP,precision,recall
hybrid_rank_v2,15,0.01,735,8,133,3,0.375,0.022556390977443608
hybrid_rank_v2,15,0.02,735,15,133,7,0.4666666666666667,0.05263157894736842
hybrid_rank_v2,15,0.03,735,23,133,12,0.5217391304347826,0.09022556390977443
hybrid_rank_v2,15,0.04,735,30,133,14,0.4666666666666667,0.10526315789473684
hybrid_rank_v2,15,0.05,735,37,133,16,0.43243243243243246,0.12030075187969924
hybrid_rank_v2,15,0.06,735,45,133,20,0.4444444444444444,0.15037593984962405
hybrid_rank_v2,15,0.07,735,52,133,22,0.4230769230769231,0.16541353383458646
hybrid_rank_v2,15,0.08,735,59,133,28,0.4745762711864407,0.21052631578947367
hybrid_rank_v2,15,0.09,735,67,133,30,0.44776119402985076,0.22556390977443608
hybrid_rank_v2,15,0.1,735,74,133,32,0.43243243243243246,0.24060150375939848
hybrid_rank_v2,15,0.11,735,81,133,35,0.43209876543209874,0.2631578947368421
hybrid_rank_v2,15,0.12,735,89,133,37,0.4157303370786517,0.2781954887218045
hybrid_rank_v2,15,0.13,735,96,133,39,0.40625,0.2932330827067669
hybrid_rank_v2,15,0.14,735,103,133,42,0.4077669902912621,0.3157894736842105
hybrid_rank_v2,15,0.15,735,111,133,44,0.3963963963963964,0.3308270676691729
hybrid_rank_v2,15,0.16,735,118,133,45,0.3813559322033898,0.3383458646616541
hybrid_rank_v2,15,0.17,735,125,133,49,0.392,0.3684210526315789
hybrid_rank_v2,15,0.18,735,133,133,50,0.37593984962406013,0.37593984962406013
hybrid_rank_v2,15,0.19,735,140,133,53,0.37857142857142856,0.39849624060150374
hybrid_rank_v2,15,0.2,735,147,133,56,0.38095238095238093,0.42105263157894735
hybrid_rank_v2,16,0.01,735,8,70,3,0.375,0.04285714285714286
hybrid_rank_v2,16,0.02,735,15,70,7,0.4666666666666667,0.1
hybrid_rank_v2,16,0.03,735,23,70,11,0.4782608695652174,0.15714285714285714
hybrid_rank_v2,16,0.04,735,30,70,14,0.4666666666666667,0.2
hybrid_rank_v2,16,0.05,735,37,70,16,0.43243243243243246,0.22857142857142856
hybrid_rank_v2,16,0.06,735,45,70,17,0.37777777777777777,0.24285714285714285
hybrid_rank_v2,16,0.07,735,52,70,17,0.3269230769230769,0.24285714285714285
hybrid_rank_v2,16,0.08,735,59,70,18,0.3050847457627119,0.2571428571428571
hybrid_rank_v2,16,0.09,735,67,70,18,0.26865671641791045,0.2571428571428571
hybrid_rank_v2,16,0.1,735,74,70,19,0.25675675675675674,0.2714285714285714
hybrid_rank_v2,16,0.11,735,81,70,21,0.25925925925925924,0.3
hybrid_rank_v2,16,0.12,735,89,70,24,0.2696629213483146,0.34285714285714286
hybrid_rank_v2,16,0.13,735,96,70,26,0.2708333333333333,0.37142857142857144
hybrid_rank_v2,16,0.14,735,103,70,28,0.27184466019417475,0.4
hybrid_rank_v2,16,0.15,735,111,70,29,0.26126126126126126,0.4142857142857143
hybrid_rank_v2,16,0.16,735,118,70,30,0.2542372881355932,0.42857142857142855
hybrid_rank_v2,16,0.17,735,125,70,31,0.248,0.44285714285714284
