model,scope,MAE,RMSE,MASE1,MASE7,n
hybrid_point,overall,1.69808265156526,2.209293137658483,1.1013236187970854,0.8061097163929667,735
hybrid_point,fold1,1.7443542226310234,2.241661132185916,1.3115856148883196,0.8213020064290685,241
hybrid_point,fold2,1.4962440519672369,1.9960975805314967,0.9784090171000039,0.7659018723883225,245
hybrid_point,fold3,1.8518939297767731,2.3714350690191464,1.0478374034440792,0.8287820266498045,249
enet,overall,1.788795224895991,2.282605600573467,1.1601569738395547,0.8491725712507718,735
enet,fold1,1.984761953768908,2.5281718551472068,1.4923489700472252,0.9344942407716972,241
enet,fold2,1.4698041842073402,1.9044903976279783,0.9611197219524628,0.7523677539426187,245
enet,fold3,1.9129913024475833,2.371634639276883,1.0824074786018685,0.8561250637054938,249
persistence,overall,2.076462610724832,2.6690460279054067,1.3467290974513721,0.9857333414772622,735
persistence,fold1,1.8886721915723872,2.4369992802297613,1.4200987652436938,0.8892518734443426,241
persistence,fold2,1.9853061870652802,2.5914604532705603,1.298211660440827,1.016244458207353,245
persistence,fold3,2.347911666196034,2.9448537621805033,1.3284938323219568,1.0507658985302832,249
hgbr,overall,1.769585414449508,2.3068210694570355,1.1476980879674064,0.8400533361907451,735
hgbr,fold1,1.857658785416567,2.405165497558253,1.3967796842594946,0.8746496943848876,241
hgbr,fold2,1.4693716562472947,1.9532190935410654,0.9608368875741407,0.7521463502391095,245
hgbr,fold3,1.979732757246622,2.5209272473639355,1.1201710845915134,0.8859940088326972,249
