model,display_model_name,horizon_days,outer_fold,fold_n,MAE_mg_L,MSE_mg2_L2,RMSE_mg_L,MASE,feature_date_start,feature_date_end,source_package,source_file,source_sha256,mase_method
HGBR,HGBR,3,1,249,1.7642511317648075,5.2924926560861705,2.30054181793902,1.5292859419834135,2021-10-15,2022-06-20,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,3,2,249,1.5457726346779608,3.9481529080879896,1.9869959506974315,1.2287698349105691,2022-06-21,2023-02-24,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
HGBR,HGBR,3,3,249,1.98089694841384,6.036866361263907,2.457003533018198,1.4741172141902004,2023-02-25,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,3,1,249,1.845983935742972,5.601704016064258,2.366791924961773,1.600133468093634,2021-10-15,2022-06-20,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,3,2,249,1.8968674698795185,5.9266,2.434460925954656,1.5078631071099762,2022-06-21,2023-02-24,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Persistence,Persistence,3,3,249,2.3341775473895585,8.728500377097209,2.954403556912496,1.7370168126809409,2023-02-25,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,3,1,249,2.0307162204936144,6.176591976752551,2.485275030404593,1.7602628742836908,2021-10-15,2022-06-20,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,3,2,249,1.4547782439198813,3.565317988844116,1.888204964733468,1.1564363234993726,2022-06-21,2023-02-24,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
Ridge,Ridge,3,3,249,1.9070178990215396,5.511287969923624,2.3476132496481665,1.4191388981478623,2023-02-25,2023-10-31,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_by_fold.csv,e41972cc9f3b28009d75df272075335542372cb00a77ea3eccaeec3a668e8f0b,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
BCR-TCN v1.1,BCR-TCN v1.1,5,1,249,13.06844567278602,175.5130024775938,13.248132037294685,11.572639982579703,2021-10-10,2022-06-15,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
BCR-TCN v1.1,BCR-TCN v1.1,5,2,249,12.044562697290896,149.09226321655268,12.210334279476246,9.784815546690853,2022-06-16,2023-02-19,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_by_fold.csv,a8bd54e70b6e62dc50391166bbf7db05f8842aadc963a87381ab7db7b4bbf8a5,mean_absolute_scaled_error_over_pooled_rows_using_fold_local_train_denominator
