policy_type,policy_display_name,horizon_days,threshold_mg_L,nominal_budget_fraction,outer_fold_or_pooled,model,startup_dates,eligible_dates,event_count_eligible,candidate_alarms,issued_alarms,suppressed_candidates,unused_capacity,maximum_integer_capacity,realized_alarm_fraction,true_positives,false_positives,false_negatives,recall,precision,miss_rate,false_alarm_rate,cutoff_information_scope,quota_rule,causal,hard_prefix_capacity_enforced,prospective_field_validation,source_package,source_file,source_sha256
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,17,0.1,2,BCR-TCN v1.1,30,219,1,35,22,13,,22,0.1004566210045662,0,22,1,0.0,0.0,1.0,0.1009174311926605,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,15,0.05,3,BCR-TCN v1.1,30,219,49,13,11,2,,11,0.0502283105022831,8,3,41,0.1632653061224489,0.7272727272727273,0.8367346938775511,0.0176470588235294,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,15,0.1,3,BCR-TCN v1.1,30,219,49,20,19,1,,22,0.0867579908675799,12,7,37,0.2448979591836734,0.631578947368421,0.7551020408163265,0.0411764705882352,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,16,0.05,3,BCR-TCN v1.1,30,219,32,3,3,0,,11,0.0136986301369863,1,2,31,0.03125,0.3333333333333333,0.96875,0.0106951871657754,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,16,0.1,3,BCR-TCN v1.1,30,219,32,10,10,0,,22,0.045662100456621,5,5,27,0.15625,0.5,0.84375,0.0267379679144385,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,17,0.05,3,BCR-TCN v1.1,30,219,12,31,11,20,,11,0.0502283105022831,0,11,12,0.0,0.0,1.0,0.0531400966183574,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,17,0.1,3,BCR-TCN v1.1,30,219,12,46,22,24,,22,0.1004566210045662,3,19,9,0.25,0.1363636363636363,0.75,0.0917874396135265,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,15,0.05,1,ElasticNet,30,219,48,0,0,0,,11,0.0,0,0,48,0.0,,1.0,0.0,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,15,0.1,1,ElasticNet,30,219,48,0,0,0,,22,0.0,0,0,48,0.0,,1.0,0.0,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
historical_quota_enforced_sequential_simulation,historical quota-enforced sequential simulation,5,16,0.05,1,ElasticNet,30,219,28,0,0,0,,11,0.0,0,0,28,0.0,,1.0,0.0,past_scores_only_then_prefix_quota_gate,A_j <= ceil(r * j) at every eligible-date prefix,True,True,False,sequential_quota_enforced,revision_2026/08_sequential_alarm_policy/h5/quota_enforced/quota_enforced_h5_metrics_by_fold.csv,8e8ddad3af2f6ec7f59f9ef6b214278d2777de47c342110c4c081196ddd1d245
