model,horizon_days,configuration_id,outer_fold,N,MAE,MSE,RMSE,MASE,mase_denominator,mase_denominator_source,mase_method,epsilon_or_stabilizer,training_rows_used_for_denominator,final_reference_configuration,pearson_prediction_correlation,spearman_prediction_rank_correlation,mean_prediction_difference,mean_absolute_prediction_difference,maximum_absolute_prediction_difference,retrospective_recall5_tau16
HGBR,5,LONG,1,249,1.937143353772785,6.01259171245049,2.452058668231756,1.6693589450503736,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,LONG,1.0,1.0,0.0,0.0,0.0,0.0967741935483871
HGBR,5,LONG,2,249,1.4645810960265646,3.577369611210423,1.8913935632782573,1.162028542716126,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,LONG,1.0,1.0,0.0,0.0,0.0,0.0
HGBR,5,LONG,3,249,2.019850132910628,6.123932376744508,2.474658032283352,1.5021165589638088,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,LONG,1.0,1.0,0.0,0.0,0.0,0.2121212121212121
HGBR,5,REFERENCE,1,249,1.9253674035667072,5.966144292793759,2.442569199182238,1.6592108639727925,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,LONG,0.993959207516038,0.98966501204284,0.0222301503898627,0.0938399443845178,0.3800042542295507,0.1290322580645161
HGBR,5,REFERENCE,2,249,1.4573540100853106,3.570277235192711,1.8895177255566329,1.1562944251809597,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,LONG,0.96545806552959,0.955292303072407,0.0283548041119095,0.1388815369891287,0.6460899375323503,0.0
HGBR,5,REFERENCE,3,249,1.9914769519596056,5.959676204973964,2.441244806440756,1.4810160702480484,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,LONG,0.9665201178045382,0.9684599627788684,0.0082034237549662,0.2588638264424351,1.1248103455090792,0.2424242424242424
HGBR,5,SHORT,1,249,1.9549168864487163,6.066640778720476,2.463055171676119,1.6846755222669878,1.1604115207499437,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,244,LONG,0.9702905947994062,0.9606899241299708,0.0715983154014548,0.2068678128184854,0.8598321184658495,0.064516129032258
HGBR,5,SHORT,2,249,1.4698193331853042,3.623956015990006,1.9036690930910247,1.166184667022582,1.260365852495519,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,493,LONG,0.9502001315834818,0.9327087679057104,0.0664123670944894,0.1792537289367743,0.7877851858972189,0.0
HGBR,5,SHORT,3,249,1.982765568391457,5.840362732365427,2.416684243413985,1.4745376126159742,1.3446693729292527,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,742,LONG,0.9584104759452516,0.9612941188376926,0.0089877395765257,0.2897409870612226,1.000053776215859,0.2424242424242424
Ridge,1,LONG,1,254,1.5987488505661256,4.0366408555288125,2.009139332034693,1.381815522459246,1.1569915254237289,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,237,REFERENCE,0.9935840665291784,0.9932533543746463,-0.0407817799674827,0.138837237235379,0.5313955862801762,0.1470588235294117
Ridge,1,LONG,2,254,1.3635239070161067,3.06982407776528,1.752091344013,1.0902495249888546,1.25065306122449,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,491,REFERENCE,0.9878202059304354,0.9839722313250716,-0.0440735998883898,0.1475605490741601,0.5559043861742943,0.0
Ridge,1,LONG,3,254,1.7325151108438934,4.545218009608919,2.1319516902615123,1.2906044971290582,1.3424059139784943,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,745,REFERENCE,0.988282993749413,0.9863177763091168,0.0168424956622976,0.1496021916960246,0.5063467494020504,0.2058823529411764
Ridge,1,REFERENCE,1,254,1.5860623448409408,3.935423384758464,1.9837901564324956,1.3668275444753315,1.160396825396825,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,253,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.1470588235294117
Ridge,1,REFERENCE,2,254,1.3593775618568986,3.072284891843872,1.752793453845567,1.088035314935454,1.2493873517786562,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,507,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.0
Ridge,1,REFERENCE,3,254,1.730585354266177,4.495716788097222,2.12031054048628,1.2918367857035502,1.3396315789473685,outer_train_y_true_abs_first_difference_mean_m1,MAE/(fold_local_training_denominator+epsilon),1e-09,761,REFERENCE,1.0,1.0,0.0,0.0,0.0,0.2058823529411764
