evaluation_type,model,threshold_mg_L,nominal_budget_fraction,fold_n,k_per_fold,pooled_n,pooled_K,pooled_event_count,true_positives,false_positives,false_negatives,true_negatives,recall,precision,miss_rate,false_alarm_rate,realized_alarm_fraction,random_expected_recall,recall_enrichment_over_random,tie_break_rule,retrospective_only,source_file,source_sha256
retrospective_offline_top_k_fold_local_budget,Persistence,16,0.05,3,13,747,39,71,10,29,61,647,0.1408450704225352,0.2564102564102564,0.8591549295774648,0.0428994082840236,0.0522088353413654,0.0522088353413654,2.697724810400867,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Persistence,16,0.1,3,25,747,75,71,18,57,53,619,0.2535211267605634,0.24,0.7464788732394366,0.0843195266272189,0.1004016064257028,0.1004016064257028,2.525070422535211,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Persistence,17,0.05,3,13,747,39,29,2,37,27,681,0.0689655172413793,0.0512820512820512,0.9310344827586208,0.0515320334261838,0.0522088353413654,0.0522088353413654,1.320954907161804,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Persistence,17,0.1,3,25,747,75,29,5,70,24,648,0.1724137931034483,0.0666666666666666,0.8275862068965517,0.0974930362116991,0.1004016064257028,0.1004016064257028,1.717241379310345,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,15,0.05,3,13,747,39,134,21,18,113,595,0.1567164179104477,0.5384615384615384,0.8432835820895522,0.0293637846655791,0.0522088353413654,0.0522088353413654,3.0017221584385765,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,15,0.1,3,25,747,75,134,33,42,101,571,0.2462686567164179,0.44,0.753731343283582,0.0685154975530179,0.1004016064257028,0.1004016064257028,2.452835820895522,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,16,0.05,3,13,747,39,71,13,26,58,650,0.1830985915492957,0.3333333333333333,0.8169014084507042,0.0384615384615384,0.0522088353413654,0.0522088353413654,3.507042253521127,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,16,0.1,3,25,747,75,71,22,53,49,623,0.3098591549295774,0.2933333333333333,0.6901408450704225,0.0784023668639053,0.1004016064257028,0.1004016064257028,3.0861971830985917,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,17,0.05,3,13,747,39,29,6,33,23,685,0.2068965517241379,0.1538461538461538,0.7931034482758621,0.0459610027855153,0.0522088353413654,0.0522088353413654,3.962864721485411,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,Ridge,17,0.1,3,25,747,75,29,11,64,18,654,0.3793103448275862,0.1466666666666666,0.6206896551724138,0.0891364902506963,0.1004016064257028,0.1004016064257028,3.777931034482759,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,15,0.05,3,13,747,39,134,21,18,113,595,0.1567164179104477,0.5384615384615384,0.8432835820895522,0.0293637846655791,0.0522088353413654,0.0522088353413654,3.0017221584385765,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,15,0.1,3,25,747,75,134,30,45,104,568,0.2238805970149253,0.4,0.7761194029850746,0.0734094616639478,0.1004016064257028,0.1004016064257028,2.229850746268657,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,16,0.05,3,13,747,39,71,12,27,59,649,0.1690140845070422,0.3076923076923077,0.8309859154929577,0.0399408284023668,0.0522088353413654,0.0522088353413654,3.2372697724810404,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,16,0.1,3,25,747,75,71,21,54,50,622,0.2957746478873239,0.28,0.704225352112676,0.0798816568047337,0.1004016064257028,0.1004016064257028,2.9459154929577465,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,17,0.05,3,13,747,39,29,6,33,23,685,0.2068965517241379,0.1538461538461538,0.7931034482758621,0.0459610027855153,0.0522088353413654,0.0522088353413654,3.962864721485411,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
retrospective_offline_top_k_fold_local_budget,fixed rank ensemble,17,0.1,3,25,747,75,29,10,65,19,653,0.3448275862068966,0.1333333333333333,0.6551724137931034,0.0905292479108635,0.1004016064257028,0.1004016064257028,3.43448275862069,desc_score_then_target_date_then_feature_date_then_canonical_row_id,True,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7
