horizon,outer_fold,outer_train_feature_start,outer_train_feature_end,outer_train_target_end,outer_test_feature_start,outer_test_feature_end,outer_test_target_start,outer_test_target_end,outer_test_n,outer_purge_rows,inner_purge_rows,outer_embargo_pass,inner_embargo_pass
1,1,2021-01-18,2021-09-27,2021-09-28,2021-09-29,2022-06-09,2021-09-30,2022-06-10,254,1,1,True,True
1,2,2021-01-18,2022-06-08,2022-06-09,2022-06-10,2023-02-18,2022-06-11,2023-02-19,254,1,1,True,True
1,3,2021-01-18,2023-02-17,2023-02-18,2023-02-19,2023-10-30,2023-02-20,2023-10-31,254,1,1,True,True
3,1,2021-02-03,2021-10-08,2021-10-11,2021-10-12,2022-06-17,2021-10-15,2022-06-20,249,3,3,True,True
3,2,2021-02-03,2022-06-14,2022-06-17,2022-06-18,2023-02-21,2022-06-21,2023-02-24,249,3,3,True,True
3,3,2021-02-03,2023-02-18,2023-02-21,2023-02-22,2023-10-28,2023-02-25,2023-10-31,249,3,3,True,True
5,1,2021-02-03,2021-10-04,2021-10-09,2021-10-10,2022-06-15,2021-10-15,2022-06-20,249,5,5,True,True
5,2,2021-02-03,2022-06-10,2022-06-15,2022-06-16,2023-02-19,2022-06-21,2023-02-24,249,5,5,True,True
5,3,2021-02-03,2023-02-14,2023-02-19,2023-02-20,2023-10-26,2023-02-25,2023-10-31,249,5,5,True,True
