model,scope,tau,budget_r,n,k,events,TP,precision,recall
enet_a1.0_l0.5,fold1,17.0,0.05,254,13,17,2,0.15384615384615385,0.11764705882352941
enet_a1.0_l0.5,fold1,17.0,0.1,254,26,17,3,0.11538461538461539,0.17647058823529413
enet_a1.0_l0.5,fold2,15.0,0.05,254,13,19,2,0.15384615384615385,0.10526315789473684
enet_a1.0_l0.5,fold2,15.0,0.1,254,26,19,5,0.19230769230769232,0.2631578947368421
enet_a1.0_l0.5,fold2,16.0,0.05,254,13,6,0,0.0,0.0
enet_a1.0_l0.5,fold2,16.0,0.1,254,26,6,1,0.038461538461538464,0.16666666666666666
enet_a1.0_l0.5,fold2,17.0,0.05,254,13,1,0,0.0,0.0
enet_a1.0_l0.5,fold2,17.0,0.1,254,26,1,0,0.0,0.0
enet_a1.0_l0.5,fold3,15.0,0.05,254,13,56,10,0.7692307692307693,0.17857142857142858
enet_a1.0_l0.5,fold3,15.0,0.1,254,26,56,19,0.7307692307692307,0.3392857142857143
enet_a1.0_l0.5,fold3,16.0,0.05,254,13,34,8,0.6153846153846154,0.23529411764705882
enet_a1.0_l0.5,fold3,16.0,0.1,254,26,34,13,0.5,0.38235294117647056
enet_a1.0_l0.5,fold3,17.0,0.05,254,13,12,3,0.23076923076923078,0.25
enet_a1.0_l0.5,fold3,17.0,0.1,254,26,12,4,0.15384615384615385,0.3333333333333333
