outer_fold,threshold,N,score_min,score_max,score_mean,score_std,score_unique_count,tie_group_count,maximum_tie_size,score_finite,score_range_pass,canonical_key_pass
1,15,249,0.09627016129032258,0.9627016129032259,0.5,0.1954829979599023,236,13,2,True,True,True
1,16,249,0.05544354838709677,0.9254032258064517,0.5,0.18001054563613528,233,15,3,True,True,True
1,17,249,0.03578629032258064,0.9445564516129032,0.5,0.22926728303736285,237,11,3,True,True,True
2,15,249,0.026713709677419352,0.9485887096774194,0.5,0.24782018378670134,236,13,2,True,True,True
2,16,249,0.03125,0.9506048387096775,0.5,0.25059604432777427,243,6,2,True,True,True
2,17,249,0.026713709677419352,0.9616935483870968,0.5000000000000001,0.23033923162634168,235,13,3,True,True,True
3,15,249,0.039314516129032265,0.9879032258064516,0.5,0.23758909614052606,229,18,4,True,True,True
3,16,249,0.08568548387096775,0.967741935483871,0.5,0.22495541853683876,225,21,3,True,True,True
3,17,249,0.024193548387096777,0.9899193548387097,0.5,0.23911449341554794,235,14,2,True,True,True
