model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
enet_a0.1_l0.5_v2_H5,overall,17.0,0.05,y_pred,747,38,29,718,4,34,25,684,0.10526315789473684,0.13793103448275862,0.04735376044568245,0.8620689655172413
enet_a0.1_l0.5_v2_H5,fold1,17.0,0.05,y_pred,249,13,16,233,0,13,16,220,0.0,0.0,0.055793991416309016,1.0
enet_a0.1_l0.5_v2_H5,fold2,17.0,0.05,y_pred,249,13,1,248,1,12,0,236,0.07692307692307693,1.0,0.04838709677419355,0.0
enet_a0.1_l0.5_v2_H5,fold3,17.0,0.05,y_pred,249,13,12,237,3,10,9,227,0.23076923076923078,0.25,0.04219409282700422,0.75
enet_a0.1_l0.5_v2_H5,overall,17.0,0.1,y_pred,747,75,29,718,10,65,19,653,0.13333333333333333,0.3448275862068966,0.0905292479108635,0.6551724137931034
enet_a0.1_l0.5_v2_H5,fold1,17.0,0.1,y_pred,249,25,16,233,1,24,15,209,0.04,0.0625,0.10300429184549356,0.9375
enet_a0.1_l0.5_v2_H5,fold2,17.0,0.1,y_pred,249,25,1,248,1,24,0,224,0.04,1.0,0.0967741935483871,0.0
enet_a0.1_l0.5_v2_H5,fold3,17.0,0.1,y_pred,249,25,12,237,6,19,6,218,0.24,0.5,0.08016877637130802,0.5
hgbr_optuna_H5_v2,overall,15.0,0.05,y_pred,747,38,134,613,19,19,115,594,0.5,0.1417910447761194,0.03099510603588907,0.8582089552238806
hgbr_optuna_H5_v2,fold1,15.0,0.05,y_pred,249,13,59,190,6,7,53,183,0.46153846153846156,0.1016949152542373,0.03684210526315789,0.8983050847457628
hgbr_optuna_H5_v2,fold2,15.0,0.05,y_pred,249,13,20,229,3,10,17,219,0.23076923076923078,0.15,0.043668122270742356,0.85
hgbr_optuna_H5_v2,fold3,15.0,0.05,y_pred,249,13,55,194,11,2,44,192,0.8461538461538461,0.2,0.010309278350515464,0.8
hgbr_optuna_H5_v2,overall,15.0,0.1,y_pred,747,75,134,613,30,45,104,568,0.4,0.22388059701492538,0.0734094616639478,0.7761194029850746
hgbr_optuna_H5_v2,fold1,15.0,0.1,y_pred,249,25,59,190,12,13,47,177,0.48,0.2033898305084746,0.06842105263157895,0.7966101694915254
hgbr_optuna_H5_v2,fold2,15.0,0.1,y_pred,249,25,20,229,5,20,15,209,0.2,0.25,0.08733624454148471,0.75
hgbr_optuna_H5_v2,fold3,15.0,0.1,y_pred,249,25,55,194,20,5,35,189,0.8,0.36363636363636365,0.02577319587628866,0.6363636363636364
hgbr_optuna_H5_v2,overall,16.0,0.05,y_pred,747,38,71,676,14,24,57,652,0.3684210526315789,0.19718309859154928,0.03550295857988166,0.8028169014084507
hgbr_optuna_H5_v2,fold1,16.0,0.05,y_pred,249,13,31,218,3,10,28,208,0.23076923076923078,0.0967741935483871,0.045871559633027525,0.9032258064516129
hgbr_optuna_H5_v2,fold2,16.0,0.05,y_pred,249,13,7,242,2,11,5,231,0.15384615384615385,0.2857142857142857,0.045454545454545456,0.7142857142857143
hgbr_optuna_H5_v2,fold3,16.0,0.05,y_pred,249,13,33,216,8,5,25,211,0.6153846153846154,0.24242424242424243,0.023148148148148147,0.7575757575757576
hgbr_optuna_H5_v2,overall,16.0,0.1,y_pred,747,75,71,676,22,53,49,623,0.29333333333333333,0.30985915492957744,0.07840236686390532,0.6901408450704225
hgbr_optuna_H5_v2,fold1,16.0,0.1,y_pred,249,25,31,218,5,20,26,198,0.2,0.16129032258064516,0.09174311926605505,0.8387096774193549
hgbr_optuna_H5_v2,fold2,16.0,0.1,y_pred,249,25,7,242,3,22,4,220,0.12,0.42857142857142855,0.09090909090909091,0.5714285714285714
hgbr_optuna_H5_v2,fold3,16.0,0.1,y_pred,249,25,33,216,16,9,17,207,0.64,0.48484848484848486,0.041666666666666664,0.5151515151515151
hgbr_optuna_H5_v2,overall,17.0,0.05,y_pred,747,38,29,718,6,32,23,686,0.15789473684210525,0.20689655172413793,0.04456824512534819,0.7931034482758621
hgbr_optuna_H5_v2,fold1,17.0,0.05,y_pred,249,13,16,233,2,11,14,222,0.15384615384615385,0.125,0.04721030042918455,0.875
hgbr_optuna_H5_v2,fold2,17.0,0.05,y_pred,249,13,1,248,1,12,0,236,0.07692307692307693,1.0,0.04838709677419355,0.0
hgbr_optuna_H5_v2,fold3,17.0,0.05,y_pred,249,13,12,237,4,9,8,228,0.3076923076923077,0.3333333333333333,0.0379746835443038,0.6666666666666666
hgbr_optuna_H5_v2,overall,17.0,0.1,y_pred,747,75,29,718,8,67,21,651,0.10666666666666667,0.27586206896551724,0.09331476323119778,0.7241379310344828
hgbr_optuna_H5_v2,fold1,17.0,0.1,y_pred,249,25,16,233,4,21,12,212,0.16,0.25,0.09012875536480687,0.75
hgbr_optuna_H5_v2,fold2,17.0,0.1,y_pred,249,25,1,248,1,24,0,224,0.04,1.0,0.0967741935483871,0.0
