feature,group,count_nonnull,missing_count,missing_pct,mean,std,min,q25,median,q75,max,skew
Inflow,main_feature,1031,0,0.0,220207.75050514063,17025.35205713721,172380.0,207380.0,218410.0,231915.0,277890.0,0.4236517358904696
TNin,main_feature,1031,0,0.0,24.933293702657615,5.696687516858152,11.71,20.705,24.18,28.25,50.88,0.7575060132802683
TOCin,main_feature,1031,0,0.0,49.16360174340446,16.25146456127084,15.1,39.2,47.2,56.7,142.7,1.208435435984745
BODin,main_feature,1031,0,0.0,54.614008330000004,21.657165213550567,15.6,39.2,50.1,64.5,174.0,1.4646373148190701
TNout,main_feature,1031,0,0.0,12.6902494085354,2.2340692604193513,6.31,11.11,12.6,14.065000000000001,19.6,0.1307600622325058
temp_mean_c,main_climate,1031,0,0.0,15.386380536632394,8.595336446698234,-8.825,9.070833333,16.125,22.702083334999998,30.58333333,-0.38004402144434046
precip_total_mm,main_climate,1031,0,0.0,3.6335596508244423,12.829280785450281,0.0,0.0,0.0,0.1,151.9,6.194682778876658
wet_hours,main_climate,1031,0,0.0,1.5557710960232785,3.6300449543845965,0.0,0.0,0.0,1.0,24.0,2.929193968178265
