fold,n_epochs,exploding_epochs,vanishing_epochs,clip_fraction_mean,grad_l2_pre_max,grad_l2_post_max,exploding_epoch_rate,vanishing_epoch_rate
1,26,20.0,0.0,1.0,59.08529682826693,1.0000001226826423,0.7692307692307693,0.0
2,29,27.0,0.0,1.0,59.90535805868048,1.0000001087423638,0.9310344827586207,0.0
3,36,30.0,0.0,1.0,32.374377327990054,1.0000001207421219,0.8333333333333334,0.0
