horizon,fold,n_samples,train_size,test_size,train_idx_start,train_idx_end,test_idx_start,test_idx_end,train_date_start,train_date_end,test_date_start,test_date_end,feature_npz
1,1,1016,254,254,0,253,254,507,2021-01-18,2021-09-28,2021-09-29,2022-06-09,features/ulsan_H1_features.npz
1,2,1016,508,254,0,507,508,761,2021-01-18,2022-06-09,2022-06-10,2023-02-18,features/ulsan_H1_features.npz
1,3,1016,762,254,0,761,762,1015,2021-01-18,2023-02-18,2023-02-19,2023-10-30,features/ulsan_H1_features.npz
