Horizon,Best_Model,MAE,RMSE,MASE1,MASE7
1,enet_a0.1_l0.5,1.5372939109802246,1.9287165403366089,1.2294994535255503,0.811565238400564
3,enet_a0.1_l0.5,1.7191454966862996,2.163148125012716,1.3744038017792553,0.9069802882739788
5,enet_a1.0_l0.2,1.794438322385152,2.266522844632467,1.4486108776092987,0.9522496759231456
