horizon,model,is_best_by_mae,avg_MAE,avg_RMSE,avg_MASE1,avg_MASE7,tau15_precision_b05,tau15_recall_b05,tau15_precision_b10,tau15_recall_b10
1,enet_a0.1_l0.5,True,1.5372939109802246,1.9287165403366089,1.2294994535255503,0.811565238400564,0.6923076923076923,0.1914893617021276,0.5714285714285714,0.3120567375886525
1,persistence,False,1.5460530816726485,2.044486237973267,1.2315543026492117,0.8134614336432721,0.7692307692307693,0.2127659574468085,0.6493506493506493,0.3546099290780142
3,enet_a0.1_l0.5,True,1.7191454966862996,2.163148125012716,1.3744038017792553,0.9069802882739788,0.6052631578947368,0.1642857142857142,0.4078947368421052,0.2214285714285714
3,persistence,False,2.0250068772608736,2.578892839628263,1.6110314315369614,1.064406852711045,0.5263157894736842,0.1428571428571428,0.4868421052631579,0.2642857142857143
5,enet_a1.0_l0.2,True,1.794438322385152,2.266522844632467,1.4486108776092987,0.9522496759231457,0.4473684210526316,0.1214285714285714,0.3289473684210526,0.1785714285714285
5,persistence,False,2.0774835591573804,2.6533337137266915,1.6664476520183547,1.0967473786077473,0.5,0.1357142857142857,0.4473684210526316,0.2428571428571428
