model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,15,0.1,0.5974025974025974,0.3262411347517731,46,141,77,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,15,0.1,0.5844155844155844,0.3191489361702128,45,141,77,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,15,0.1,0.5714285714285714,0.3120567375886525,44,141,77,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,15,0.1,0.5714285714285714,0.3120567375886525,44,141,77,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,1,15,0.1,0.5714285714285714,0.3120567375886525,44,141,77,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,15,0.1,0.4935064935064935,0.2695035460992908,38,141,77,results/metrics/alarm_budget_H1.csv,5,5
persistence,Persistence baseline (carry-forward),main_alarm,1,16,0.05,0.5128205128205128,0.2702702702702703,20,74,39,results/metrics/alarm_budget_H1.csv,1,1
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,16,0.05,0.4358974358974359,0.2297297297297297,17,74,39,results/metrics/alarm_budget_H1.csv,2,2
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,1,16,0.05,0.4358974358974359,0.2297297297297297,17,74,39,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,16,0.05,0.4102564102564102,0.2162162162162162,16,74,39,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,16,0.05,0.3846153846153846,0.2027027027027027,15,74,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,16,0.05,0.3846153846153846,0.2027027027027027,15,74,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,16,0.05,0.3846153846153846,0.2027027027027027,15,74,39,results/metrics/alarm_budget_H1.csv,4,4
persistence,Persistence baseline (carry-forward),main_alarm,1,16,0.1,0.4285714285714285,0.4459459459459459,33,74,77,results/metrics/alarm_budget_H1.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,16,0.1,0.3896103896103896,0.4054054054054054,30,74,77,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,16,0.1,0.3896103896103896,0.4054054054054054,30,74,77,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,16,0.1,0.3766233766233766,0.3918918918918919,29,74,77,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,16,0.1,0.3766233766233766,0.3918918918918919,29,74,77,results/metrics/alarm_budget_H1.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,1,16,0.1,0.3246753246753247,0.3378378378378378,25,74,77,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,16,0.1,0.3116883116883117,0.3243243243243243,24,74,77,results/metrics/alarm_budget_H1.csv,5,5
persistence,Persistence baseline (carry-forward),main_alarm,1,17,0.05,0.2307692307692307,0.3,9,30,39,results/metrics/alarm_budget_H1.csv,1,1
