horizon,fold,n_samples,train_size,test_size,train_idx_start,train_idx_end,test_idx_start,test_idx_end,train_date_start,train_date_end,test_date_start,test_date_end,feature_npz
1,1,1016,254,254,0,253,254,507,2021-01-18,2021-09-28,2021-09-29,2022-06-09,features/ulsan_H1_features.npz
1,2,1016,508,254,0,507,508,761,2021-01-18,2022-06-09,2022-06-10,2023-02-18,features/ulsan_H1_features.npz
1,3,1016,762,254,0,761,762,1015,2021-01-18,2023-02-18,2023-02-19,2023-10-30,features/ulsan_H1_features.npz
3,1,998,251,249,0,250,251,499,2021-02-03,2021-10-11,2021-10-12,2022-06-17,features/ulsan_H3_features_v2.npz
3,2,998,500,249,0,499,500,748,2021-02-03,2022-06-17,2022-06-18,2023-02-21,features/ulsan_H3_features_v2.npz
3,3,998,749,249,0,748,749,997,2021-02-03,2023-02-21,2023-02-22,2023-10-28,features/ulsan_H3_features_v2.npz
5,1,996,249,249,0,248,249,497,2021-02-03,2021-10-09,2021-10-10,2022-06-15,features/ulsan_H5_features_v2.npz
5,2,996,498,249,0,497,498,746,2021-02-03,2022-06-15,2022-06-16,2023-02-19,features/ulsan_H5_features_v2.npz
5,3,996,747,249,0,746,747,995,2021-02-03,2023-02-19,2023-02-20,2023-10-26,features/ulsan_H5_features_v2.npz
